system,rep,term,average_kcal_per_mol,sd_prop,sd,sem_prop,sem,source_file,source_line
drugs2263,rep3,DELTA_TOTAL,-14.39,15.12,7.71,1.5,0.77,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖TOTAL                  -14.39         15.12       7.71         1.50       0.77
drugs3003,rep1,DELTA_VDWAALS,-29.11,0.99,10.8,0.1,1.07,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖VDWAALS                -29.11          0.99      10.80         0.10       1.07
drugs3003,rep1,DELTA_EEL,-228.61,25.74,79.84,2.56,7.94,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖EEL                   -228.61         25.74      79.84         2.56       7.94
drugs3003,rep1,DELTA_1_4_EEL,-0.0,0.6,0.0,0.06,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖1-4 EEL                 -0.00          0.60       0.00         0.06       0.00
drugs3003,rep1,DELTA_EGB,243.4,26.05,84.26,2.59,8.38,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖EGB                    243.40         26.05      84.26         2.59       8.38
drugs3003,rep1,DELTA_ESURF,-3.64,0.41,1.39,0.04,0.14,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖ESURF                   -3.64          0.41       1.39         0.04       0.14
drugs3003,rep1,DELTA_GGAS,-257.72,25.76,90.11,2.56,8.97,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖GGAS                  -257.72         25.76      90.11         2.56       8.97
drugs3003,rep1,DELTA_GSOLV,239.76,26.06,82.91,2.59,8.25,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖GSOLV                  239.76         26.06      82.91         2.59       8.25
drugs3003,rep1,DELTA_TOTAL,-17.96,36.64,7.62,3.65,0.76,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖TOTAL                  -17.96         36.64       7.62         3.65       0.76
drugs3003,rep2,DELTA_VDWAALS,-33.46,1.23,4.04,0.12,0.4,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖VDWAALS                -33.46          1.23       4.04         0.12       0.40
drugs3003,rep2,DELTA_EEL,-144.59,7.02,42.14,0.7,4.19,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖EEL                   -144.59          7.02      42.14         0.70       4.19
