time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
0.0,3.51931,2.95961,3.04396,2.59731
10.0,3.54906,2.97878,3.08422,2.60884
20.0,3.49665,2.93993,3.02986,2.57485
30.0,3.50354,2.94882,3.03195,2.58094
40.0,3.52497,2.96362,3.06078,2.58832
50.0,3.53921,2.96526,3.07528,2.60806
60.0,3.56607,2.99054,3.09041,2.63435
70.0,3.55723,2.98531,3.07636,2.63281
80.0,3.56682,2.99384,3.08964,2.63353
90.0,3.59897,3.02633,3.11725,2.65126
100.0,3.53598,2.97984,3.05323,2.60856
110.0,3.50281,2.94788,3.03501,2.57645
120.0,3.49213,2.95351,2.99653,2.58602
130.0,3.509,2.95989,3.02578,2.59033
140.0,3.50233,2.96029,3.00578,2.59511
150.0,3.55731,3.01681,3.04222,2.6368
160.0,3.5591,3.01495,3.04395,2.64175
170.0,3.52746,2.98336,3.03529,2.60241
180.0,3.52928,2.98793,3.03447,2.60306
190.0,3.53246,2.98366,3.04776,2.60107
200.0,3.54278,2.99375,3.04847,2.61665
210.0,3.5477,2.99842,3.05623,2.61559
220.0,3.54708,2.99461,3.05787,2.61634
230.0,3.59874,3.03083,3.11841,2.64415
240.0,3.56834,3.00694,3.08512,2.62801
250.0,3.58429,3.02137,3.10337,2.63337
260.0,3.57638,3.01277,3.09972,2.62599
270.0,3.56359,3.0002,3.08575,2.62207
280.0,3.58574,3.01864,3.11348,2.62852
290.0,3.60085,3.02616,3.13161,2.63964
300.0,3.59805,3.02483,3.12473,2.64165
310.0,3.62769,3.05089,3.15859,2.65249
320.0,3.63022,3.04352,3.16892,2.65553
330.0,3.65944,3.07234,3.18678,2.68106
340.0,3.60634,3.032,3.13948,2.63857
350.0,3.60755,3.02846,3.14823,2.63551
360.0,3.61009,3.03373,3.14598,2.63908
370.0,3.63855,3.05448,3.17379,2.65995
380.0,3.64312,3.0601,3.16633,2.67485
390.0,3.67469,3.09336,3.18766,2.6975
400.0,3.70653,3.11828,3.22658,2.70966
410.0,3.66351,3.08559,3.18473,2.67942
420.0,3.71607,3.12215,3.22665,2.73115
430.0,3.71836,3.12492,3.22992,2.73037
440.0,3.70774,3.11382,3.22312,2.72217
450.0,3.67405,3.09374,3.17678,2.70814
460.0,3.65501,3.0844,3.15894,2.68808
470.0,3.69194,3.11995,3.19153,2.70941
480.0,3.69225,3.11958,3.19745,2.7037
490.0,3.68352,3.10362,3.19274,2.7038
500.0,3.66123,3.09498,3.16639,2.68408
510.0,3.62611,3.07474,3.12697,2.65808
520.0,3.65539,3.09871,3.15719,2.67469
530.0,3.68115,3.12289,3.17265,2.69882
540.0,3.65572,3.10204,3.15969,2.66876
550.0,3.66452,3.10329,3.17337,2.67521
560.0,3.64553,3.08429,3.16014,2.66092
570.0,3.62844,3.07144,3.13549,2.6582
580.0,3.66494,3.09719,3.17048,2.68683
590.0,3.59611,3.04908,3.0907,2.64852
600.0,3.60043,3.05583,3.08858,2.65493
610.0,3.63572,3.08348,3.12398,2.67765
620.0,3.66136,3.103,3.14636,2.69869
630.0,3.62925,3.07919,3.11281,2.67805
640.0,3.62452,3.07715,3.10213,2.67997
650.0,3.64195,3.08415,3.12171,2.6964
660.0,3.62898,3.07938,3.10734,2.68343
670.0,3.64005,3.09382,3.10512,2.69935
680.0,3.63548,3.09296,3.08952,2.70589
690.0,3.6115,3.07025,3.07093,2.68863
700.0,3.62441,3.08613,3.06972,2.70654
710.0,3.63047,3.08878,3.08328,2.70434
720.0,3.65089,3.11415,3.09479,2.71703
730.0,3.6427,3.10793,3.08677,2.71131
740.0,3.62223,3.08583,3.07593,2.69396
750.0,3.58132,3.04737,3.02972,2.68066
760.0,3.58298,3.05845,3.02078,2.68259
770.0,3.57046,3.04298,3.00941,2.67957
780.0,3.57423,3.04011,3.0176,2.68367
790.0,3.59908,3.06044,3.0353,2.70693
800.0,3.6274,3.08417,3.0674,2.71938
810.0,3.68123,3.11598,3.128,2.75849
820.0,3.70418,3.12733,3.1699,2.75924
830.0,3.71012,3.13807,3.16962,2.76332
840.0,3.69177,3.12717,3.1379,2.76273
850.0,3.696,3.12662,3.14707,2.76423
860.0,3.70663,3.13716,3.15937,2.76672
870.0,3.72181,3.14776,3.17716,2.77505
880.0,3.68409,3.12322,3.13043,2.75517
890.0,3.67041,3.10854,3.11747,2.74994
900.0,3.65502,3.10178,3.08964,2.74798
910.0,3.66324,3.09974,3.11658,2.74176
920.0,3.69453,3.1267,3.13581,2.77302
930.0,3.70587,3.13438,3.16072,2.76631
940.0,3.68486,3.12122,3.1453,2.74253
950.0,3.73375,3.15851,3.20208,2.76627
960.0,3.78005,3.18185,3.26487,2.79178
970.0,3.77561,3.1815,3.25179,2.79543
980.0,3.80245,3.19916,3.28868,2.80486
990.0,3.85059,3.2426,3.32907,2.83847
1000.0,3.86759,3.26308,3.3477,2.83931
1010.0,3.85331,3.24527,3.33291,2.8383
1020.0,3.81573,3.20743,3.3124,2.80356
1030.0,3.84628,3.23259,3.33358,2.8329
1040.0,3.88739,3.27259,3.36121,2.86635
1050.0,3.85138,3.23674,3.33629,2.83883
1060.0,3.86168,3.24762,3.33858,2.85167
1070.0,3.86072,3.24655,3.34562,2.84202
1080.0,3.88271,3.2626,3.37627,2.84729
1090.0,3.86392,3.25192,3.35015,2.83922
1100.0,3.90321,3.28115,3.3864,2.86991
1110.0,3.91735,3.29129,3.41256,2.86584
1120.0,3.87853,3.25819,3.37641,2.84077
1130.0,3.84313,3.23497,3.32942,2.82652
1140.0,3.83517,3.23034,3.32999,2.80945
1150.0,3.82186,3.21652,3.31263,2.80957
1160.0,3.81447,3.2199,3.30478,2.79483
1170.0,3.76558,3.17966,3.25799,2.76306
1180.0,3.80366,3.20756,3.30061,2.78447
1190.0,3.75463,3.16878,3.25149,2.75337
1200.0,3.77325,3.18355,3.25987,2.77723
1210.0,3.75659,3.16743,3.24861,2.76367
1220.0,3.73056,3.13776,3.23536,2.74245
1230.0,3.72367,3.12599,3.23377,2.73903
1240.0,3.75422,3.14663,3.26941,2.75644
1250.0,3.76408,3.15762,3.27895,2.75945
1260.0,3.74723,3.13709,3.25873,2.76094
1270.0,3.77575,3.16317,3.28628,2.77622
1280.0,3.75658,3.14869,3.2724,2.75698
1290.0,3.7372,3.13526,3.25086,2.74506
1300.0,3.698,3.1027,3.21193,2.72161
1310.0,3.70019,3.10341,3.20303,2.73721
1320.0,3.71461,3.12371,3.20588,2.7498
1330.0,3.7302,3.13697,3.22027,2.76007
1340.0,3.71915,3.12961,3.20968,2.75092
1350.0,3.76958,3.1706,3.25257,2.79061
1360.0,3.78428,3.17209,3.28866,2.78641
1370.0,3.78046,3.16697,3.28818,2.78242
1380.0,3.79794,3.17709,3.30234,2.80166
1390.0,3.77593,3.15831,3.27541,2.795
1400.0,3.75696,3.1407,3.25008,2.79329
1410.0,3.79778,3.16147,3.31042,2.80936
1420.0,3.7851,3.14795,3.30209,2.80009
1430.0,3.7482,3.11416,3.27059,2.77548
1440.0,3.76707,3.13099,3.28627,2.78909
1450.0,3.72611,3.10693,3.23975,2.76022
1460.0,3.7064,3.0896,3.22299,2.74618
1470.0,3.74198,3.12358,3.25993,2.7606
1480.0,3.77234,3.14902,3.28446,2.78515
1490.0,3.77017,3.14092,3.29077,2.78096
1500.0,3.75498,3.12244,3.28102,2.77219
1510.0,3.75493,3.12687,3.26996,2.78011
1520.0,3.76357,3.13031,3.28422,2.7828
1530.0,3.80195,3.15705,3.33127,2.80095
1540.0,3.78002,3.13569,3.31594,2.7837
1550.0,3.77795,3.14228,3.31328,2.77382
1560.0,3.73373,3.10221,3.28111,2.73716
1570.0,3.71021,3.07723,3.26135,2.72499
1580.0,3.71182,3.07618,3.26555,2.72554
1590.0,3.7355,3.0929,3.30012,2.72967
1600.0,3.75221,3.10831,3.31483,2.74015
1610.0,3.75957,3.123,3.31816,2.7396
1620.0,3.75529,3.11892,3.31058,2.74168
1630.0,3.73506,3.10073,3.28558,2.73713
1640.0,3.72547,3.09147,3.27352,2.73591
1650.0,3.68788,3.05473,3.24189,2.71287
1660.0,3.6469,3.01579,3.21764,2.67424
1670.0,3.67011,3.03837,3.22411,2.70423
1680.0,3.69938,3.06254,3.25198,2.72328
1690.0,3.6666,3.03418,3.2328,2.68899
1700.0,3.67797,3.05219,3.24207,2.68849
1710.0,3.66799,3.04983,3.23264,2.67524
1720.0,3.63751,3.02066,3.20121,2.66286
1730.0,3.65008,3.03436,3.21278,2.66776
1740.0,3.67973,3.05924,3.23912,2.68886
1750.0,3.67718,3.0463,3.23455,2.70205
1760.0,3.68418,3.05103,3.24307,2.70556
1770.0,3.69573,3.04834,3.26715,2.71111
1780.0,3.68441,3.04298,3.25073,2.70607
1790.0,3.69458,3.0489,3.26677,2.70782
1800.0,3.70171,3.04914,3.2817,2.70898
1810.0,3.7115,3.0558,3.28013,2.73009
1820.0,3.69626,3.03747,3.27722,2.7126
1830.0,3.74985,3.08752,3.32095,2.74976
1840.0,3.80086,3.12255,3.37447,2.78491
1850.0,3.75776,3.08892,3.33526,2.75247
1860.0,3.76671,3.09668,3.342,2.76005
1870.0,3.74133,3.07389,3.32346,2.73879
1880.0,3.73583,3.07482,3.30867,2.74064
1890.0,3.69999,3.02881,3.29657,2.70901
1900.0,3.72284,3.04108,3.31917,2.7302
1910.0,3.74329,3.06971,3.32266,2.74977
1920.0,3.77136,3.09517,3.34491,2.7709
1930.0,3.73267,3.06805,3.30192,2.74774
1940.0,3.75462,3.08802,3.32285,2.75992
1950.0,3.74678,3.07591,3.32234,2.75274
1960.0,3.71769,3.0607,3.29128,2.728
1970.0,3.7253,3.07449,3.29199,2.73241
1980.0,3.73151,3.08325,3.304,2.72498
1990.0,3.75536,3.11453,3.31032,2.74717
2000.0,3.72607,3.08917,3.28689,2.72408
2010.0,3.72739,3.08577,3.30127,2.71413
2020.0,3.72483,3.09742,3.29149,2.7057
2030.0,3.75326,3.12183,3.31075,2.73259
2040.0,3.76648,3.14151,3.30827,2.74939
2050.0,3.75792,3.12683,3.31667,2.73249
2060.0,3.73975,3.10973,3.29598,2.72719
2070.0,3.72404,3.09106,3.27899,2.7259
2080.0,3.7077,3.08165,3.26859,2.70439
2090.0,3.6859,3.06354,3.25233,2.68491
2100.0,3.72855,3.08759,3.29377,2.72433
2110.0,3.73397,3.1028,3.29287,2.723
2120.0,3.75476,3.12589,3.31588,2.72584
2130.0,3.78134,3.15436,3.34369,2.73253
2140.0,3.79184,3.17172,3.34241,2.7431
2150.0,3.81854,3.19114,3.3669,2.76462
2160.0,3.80162,3.17962,3.33447,2.77057
2170.0,3.8384,3.21285,3.36179,2.80046
2180.0,3.80719,3.18808,3.33957,2.77
2190.0,3.74245,3.13766,3.28533,2.71542
2200.0,3.72927,3.12796,3.27603,2.70157
2210.0,3.76875,3.1712,3.30167,2.72936
2220.0,3.731,3.14986,3.25327,2.7084
2230.0,3.71233,3.13714,3.24017,2.68748
2240.0,3.71465,3.14565,3.23119,2.69473
2250.0,3.75157,3.17531,3.26958,2.71584
2260.0,3.74548,3.16703,3.26079,2.71927
