time_ps,rmsd_nm
0.0,0.0005017
0.01,0.1353456
0.02,0.1557562
0.03,0.1798225
0.04,0.1936427
0.05,0.2054249
0.06,0.2666671
0.07,0.2825437
0.08,0.2966885
0.09,0.3055798
0.1,0.3305426
0.11,0.3878439
0.12,0.4313387
0.13,0.4706609
0.14,0.4497565
0.15,0.4931401
0.16,0.5125417
0.17,0.4626604
0.18,0.4789271
0.19,0.5028023
0.2,0.5330258
0.21,0.5132811
0.22,0.4913535
0.23,0.4624057
0.24,0.4588409
0.25,0.4658163
0.26,0.4871742
0.27,0.5107672
0.28,0.5628134
0.29,0.5497733
0.3,0.5508093
0.31,0.5070769
0.32,0.5445046
0.33,0.5295878
0.34,0.532645
0.35,0.5635631
0.36,0.5370504
0.37,0.536228
0.38,0.5339733
0.39,0.5460431
0.4,0.5541852
0.41,0.5257841
0.42,0.5439789
0.43,0.5258928
0.44,0.5091471
0.45,0.507273
0.46,0.5007987
0.47,0.5043575
0.48,0.5001549
0.49,0.4874904
0.5,0.4909308
0.5100001,0.4997169
0.52,0.5253754
0.53,0.5400221
0.54,0.5664293
0.55,0.5553182
0.56,0.5565606
0.5700001,0.5722161
0.58,0.5762973
0.59,0.5586641
0.6,0.5515717
0.61,0.5697411
0.62,0.6042321
0.6300001,0.5674166
0.64,0.5778459
0.65,0.5573775
0.66,0.6009557
0.67,0.6080675
0.68,0.6050737
0.6900001,0.592317
0.7,0.5672303
0.71,0.5675112
0.72,0.612993
0.73,0.594834
0.74,0.58669
0.7500001,0.5967039
0.7600001,0.6292582
0.77,0.6241276
0.78,0.633185
0.79,0.647035
0.8,0.6469309
0.8100001,0.6598964
0.8200001,0.6713191
0.83,0.6828263
0.84,0.6521077
0.85,0.63597
0.86,0.633285
0.8700001,0.6426778
0.8800001,0.667103
0.89,0.6785349
0.9,0.6863219
0.91,0.6712667
0.92,0.7065269
0.9300001,0.7129104
0.9400001,0.6687961
0.95,0.6630673
0.96,0.6766561
0.97,0.6872028
0.98,0.7077176
0.9900001,0.7349322
1.0,0.7434143
1.01,0.722306
1.0200001,0.6974669
1.0300001,0.7053383
1.0400001,0.7594033
1.0500001,0.734194
1.0600001,0.7694626
1.0700001,0.7655279
1.08,0.7703158
1.09,0.7568375
1.1,0.7890956
1.11,0.7819734
1.12,0.744198
1.13,0.7362112
1.1400001,0.7665862
1.1500001,0.7511211
1.1600001,0.7319893
1.1700001,0.7011684
1.1800001,0.7072398
1.1900001,0.6809442
1.2,0.6726704
1.21,0.6761702
1.22,0.6442142
1.23,0.6633581
1.24,0.7031683
1.25,0.7097544
1.2600001,0.7244029
1.2700001,0.7305313
1.2800001,0.694859
1.2900001,0.6873383
1.3000001,0.7066435
1.3100001,0.7157648
1.3200001,0.7282364
1.33,0.71861
1.34,0.7241004
1.35,0.7609207
1.36,0.759478
1.3700001,0.7628337
1.3800001,0.7656839
1.3900001,0.7569494
1.4000001,0.7228906
1.4100001,0.7156977
1.4200001,0.7351091
1.4300001,0.7495729
1.4400001,0.7562817
1.45,0.7168275
1.46,0.7108893
1.47,0.6827609
1.48,0.7159019
1.4900001,0.7434226
1.5000001,0.7329183
1.5100001,0.7304626
1.5200001,0.7140156
1.5300001,0.7246621
1.5400001,0.7398561
1.5500001,0.7152554
1.5600001,0.7033741
1.5700001,0.7113438
1.58,0.691833
1.59,0.6943645
1.6,0.6907951
1.6100001,0.6815858
1.6200001,0.7080349
1.6300001,0.7155085
1.6400001,0.7442548
1.6500001,0.7409649
1.6600001,0.7542001
1.6700001,0.7571665
1.6800001,0.7740111
1.6900001,0.7628655
1.7,0.7501739
1.71,0.7306095
1.72,0.7568259
1.7300001,0.7552747
1.7400001,0.8047605
1.7500001,0.8011567
1.7600001,0.7719024
1.7700001,0.7813868
1.7800001,0.7384257
1.7900001,0.7376481
1.8000001,0.7600718
1.8100001,0.7573336
1.8200001,0.7603905
1.83,0.8002424
1.84,0.8529647
1.8500001,0.8182001
1.8600001,0.8220385
1.8700001,0.8269712
1.8800001,0.8270193
1.8900001,0.8912144
1.9000001,0.9120535
1.9100001,0.9358586
1.9200001,0.9412434
1.9300001,0.8842292
1.9400001,0.8481062
1.95,0.8332633
1.96,0.8081838
1.9700001,0.7949052
1.9800001,0.7822619
1.9900001,0.8165476
2.0,0.8441644
2.01,0.8767489
2.02,0.8398409
2.0300002,0.8639594
2.0400002,0.8666537
2.0500002,0.8983257
2.0600002,0.9084071
2.0700002,0.9152859
2.0800002,0.9265795
2.0900002,0.9037604
2.1000001,0.9250649
2.1100001,0.8753419
2.1200001,0.857597
2.1300001,0.8918453
2.1400001,0.9190195
2.1500001,0.9316557
2.1600001,0.9368533
2.1700001,0.9147761
2.1800001,0.8950373
2.1900001,0.8992279
2.2,0.9321272
2.21,0.9047679
2.22,0.8915715
2.23,0.8704783
2.24,0.8802137
2.25,0.9000073
2.26,0.8544175
2.2700002,0.8570806
2.2800002,0.8894771
2.2900002,0.9479727
2.3000002,0.9516574
2.3100002,0.9822496
2.3200002,0.9844074
2.3300002,0.9728953
2.3400002,0.9837397
2.3500001,0.9871405
2.3600001,0.959448
2.3700001,0.9716047
2.3800001,0.9523304
2.3900001,0.9351237
2.4000001,0.9354861
2.4100001,0.9395035
2.4200001,0.901979
2.4300001,0.8515254
2.4400001,0.8085965
2.45,0.8086883
2.46,0.7911196
2.47,0.7884334
2.48,0.7864875
2.49,0.7792913
2.5,0.7673151
2.5100002,0.7563853
2.5200002,0.7698531
2.5300002,0.7267882
2.5400002,0.7343252
2.5500002,0.7356814
2.5600002,0.735788
2.5700002,0.7572183
2.5800002,0.7610338
2.5900002,0.7408585
2.6000001,0.7651019
2.6100001,0.7829111
2.6200001,0.729315
2.6300001,0.7395162
2.6400001,0.7316971
2.6500001,0.740245
2.6600001,0.7452163
2.6700001,0.7109626
2.6800001,0.736993
2.6900001,0.744486
2.7,0.7180804
2.71,0.7357623
2.72,0.7383577
2.73,0.7102422
2.7400002,0.7311608
2.7500002,0.7666687
2.7600002,0.7875984
2.7700002,0.8048247
2.7800002,0.8508846
2.7900002,0.8949115
2.8000002,0.866414
2.8100002,0.8842476
2.8200002,0.8478166
2.8300002,0.8537136
2.8400002,0.8633769
2.8500001,0.882593
2.8600001,0.8489206
2.8700001,0.8617726
2.8800001,0.8461462
2.8900001,0.8356046
2.9000001,0.8213522
2.9100001,0.7958379
2.9200001,0.7737221
2.9300001,0.7730979
2.9400001,0.7538529
2.95,0.7773052
2.96,0.7489212
2.97,0.732346
2.9800003,0.72464
2.9900002,0.7175767
3.0000002,0.7141652
3.0100002,0.714624
3.0200002,0.7313167
3.0300002,0.7257851
3.0400002,0.6940265
3.0500002,0.6966725
3.0600002,0.7031568
3.0700002,0.708963
3.0800002,0.6712724
3.0900002,0.6627838
3.1000001,0.6431324
3.1100001,0.6252836
3.1200001,0.6415793
3.1300001,0.6556356
3.1400001,0.669129
3.1500001,0.6516404
3.1600001,0.6577293
3.1700001,0.6406458
3.1800001,0.6259721
3.1900001,0.6059209
3.2,0.6122806
3.21,0.634914
3.2200003,0.6330283
3.2300003,0.6246255
3.2400002,0.6449952
3.2500002,0.6701213
3.2600002,0.6507098
3.2700002,0.6609523
3.2800002,0.635754
3.2900002,0.6866446
3.3000002,0.6945927
3.3100002,0.6913899
3.3200002,0.6996548
3.3300002,0.7069291
3.3400002,0.7114733
3.3500001,0.715396
3.3600001,0.7468672
3.3700001,0.7728238
3.3800001,0.7501072
3.3900001,0.7286075
3.4000001,0.7403513
3.4100001,0.7276542
3.4200001,0.7278165
3.4300001,0.7137612
3.4400001,0.6858329
3.45,0.7124954
3.4600003,0.7191204
3.4700003,0.7053918
3.4800003,0.6880593
3.4900002,0.7004372
3.5000002,0.7166171
3.5100002,0.7077361
3.5200002,0.7167795
3.5300002,0.7133377
3.5400002,0.7239033
3.5500002,0.719064
3.5600002,0.7313604
3.5700002,0.7359158
3.5800002,0.7400395
3.5900002,0.7357545
3.6000001,0.7275822
3.6100001,0.7285904
3.6200001,0.7170168
3.6300001,0.7182201
3.6400001,0.7279677
3.6500001,0.7157548
3.6600001,0.740998
3.6700001,0.7353644
3.6800001,0.7527131
3.6900001,0.7556562
3.7000003,0.7360798
3.7100003,0.7382848
3.7200003,0.7240095
3.7300003,0.7523251
3.7400002,0.740532
3.7500002,0.7348924
3.7600002,0.7590058
3.7700002,0.7509725
3.7800002,0.7753765
3.7900002,0.7652373
3.8000002,0.704982
3.8100002,0.7057362
3.8200002,0.6988717
3.8300002,0.6967631
3.8400002,0.7309391
3.8500001,0.7203717
3.8600001,0.7541679
3.8700001,0.7730442
3.8800001,0.7821144
3.8900001,0.7763444
3.9000001,0.7756554
3.9100001,0.7825906
3.9200001,0.7745407
3.9300003,0.8090342
3.9400003,0.788206
3.9500003,0.7792768
3.9600003,0.7687607
3.9700003,0.7611826
3.9800003,0.7514452
3.9900002,0.7326146
4.0,0.7608026
4.0100002,0.7681397
4.02,0.8084785
4.0300002,0.8157176
4.04,0.7936856
4.0500002,0.7921982
4.0600004,0.8179853
4.0700002,0.8134172
4.0800004,0.8314481
4.0900002,0.8395504
4.1000004,0.8305538
4.1100001,0.7885476
4.1200004,0.7838992
4.1300001,0.7884253
4.1400003,0.7706037
4.1500001,0.7530071
4.1600003,0.7654257
4.1700001,0.751539
4.1800003,0.756033
4.1900001,0.7721486
4.2000003,0.794823
4.21,0.7798282
4.2200003,0.8128636
4.23,0.7793442
4.2400002,0.7623943
4.25,0.7823741
4.2600002,0.7773932
4.27,0.8036459
4.2800002,0.7865068
4.2900004,0.7797728
4.3000002,0.7990742
4.3100004,0.8145853
4.3200002,0.7741034
4.3300004,0.7585583
4.3400002,0.7437987
4.3500004,0.7710603
4.3600001,0.7484317
4.3700004,0.7481182
4.3800001,0.7644879
4.3900003,0.7970939
4.4000001,0.8071049
4.4100003,0.8111908
4.4200001,0.8006512
4.4300003,0.8092935
4.4400001,0.8220564
4.4500003,0.8290231
4.46,0.8489181
4.4700003,0.8491677
4.48,0.8359982
4.4900002,0.8428352
4.5,0.8270071
4.5100002,0.8255593
4.52,0.8190861
4.5300002,0.8150942
4.5400004,0.8080149
4.5500002,0.8006164
4.5600004,0.8104398
4.5700002,0.7964105
4.5800004,0.777662
4.5900002,0.777666
4.6000004,0.7748001
4.6100001,0.7913071
4.6200004,0.8123
4.6300001,0.8062349
4.6400003,0.8255301
4.6500001,0.8683561
4.6600003,0.8748205
4.6700001,0.8616028
4.6800003,0.8633688
4.6900001,0.8935381
4.7000003,0.9122239
4.71,0.9557596
4.7200003,0.9350659
4.73,0.9579918
4.7400002,0.9445758
4.75,1.00476
4.7600002,1.025291
4.7700005,1.0219138
4.7800002,0.9982154
4.7900004,1.0283113
4.8000002,1.0060188
4.8100004,1.0001296
4.8200002,0.9917283
4.8300004,1.0031587
4.8400002,0.9693122
4.8500004,0.9825491
4.8600001,0.9632431
4.8700004,0.9605537
4.8800001,0.9621191
4.8900003,0.9755489
4.9000001,0.9718521
4.9100003,0.9624562
4.9200001,0.9387071
4.9300003,0.9310564
4.9400001,0.9047784
4.9500003,0.9201957
4.96,0.9259841
4.9700003,0.9056311
4.98,0.8848264
4.9900002,0.8705277
5.0,0.8913683
5.0100002,0.9021906
5.0200005,0.867458
5.0300002,0.8589109
5.0400004,0.8335048
5.0500002,0.8597044
5.0600004,0.8425269
5.0700002,0.8503582
5.0800004,0.8470191
5.0900002,0.8521134
5.1000004,0.8153183
5.1100001,0.8071426
5.1200004,0.8625355
5.1300001,0.8747282
5.1400003,0.8760709
5.1500001,0.8717439
5.1600003,0.8562537
5.1700001,0.878515
5.1800003,0.8931645
5.1900001,0.8788233
5.2000003,0.8623843
5.21,0.8727474
5.2200003,0.888767
5.23,0.9103523
5.2400002,0.8995572
5.2500005,0.8996589
5.2600002,0.8907576
5.2700005,0.8567145
5.2800002,0.8394528
5.2900004,0.857556
5.3000002,0.8463546
5.3100004,0.8497262
5.3200002,0.8548645
5.3300004,0.8987368
5.3400002,0.9356608
5.3500004,0.9368468
5.3600001,0.9171399
5.3700004,0.9360972
5.3800001,0.9042245
5.3900003,0.9286487
5.4000001,0.9156561
5.4100003,0.9046955
5.4200001,0.9242015
5.4300003,0.9297122
5.4400001,0.9316192
5.4500003,0.9209127
5.46,0.8906505
5.4700003,0.8956397
5.4800005,0.8845363
5.4900002,0.8859304
5.5000005,0.9325697
5.5100002,0.9045393
5.5200005,0.8705457
5.5300002,0.8499124
5.5400004,0.8581738
5.5500002,0.8476349
5.5600004,0.8469368
5.5700002,0.8644306
5.5800004,0.8682908
5.5900002,0.8903572
5.6000004,0.8994609
5.6100001,0.8835947
5.6200004,0.8983784
5.6300001,0.9314764
5.6400003,0.9500532
5.6500001,0.9706472
5.6600003,0.9728826
5.6700001,0.9430718
5.6800003,0.9135281
5.6900001,0.9179772
5.7000003,0.8989038
5.71,0.8958837
5.7200003,0.9250205
5.7300005,0.908281
5.7400002,0.9027525
5.7500005,0.9055595
5.7600002,0.8950233
5.7700005,0.9017246
5.7800002,0.9008118
5.7900004,0.8608974
5.8000002,0.8696769
5.8100004,0.8840571
5.8200002,0.9089413
5.8300004,0.9033929
5.8400002,0.8854698
5.8500004,0.9083027
5.8600001,0.9200282
5.8700004,0.914465
5.8800001,0.9163418
