time_ps,mindist_nm
0.0,0.1842963
10.0,0.1982448
20.0,0.2109145
30.0,0.2107819
40.0,0.2292988
50.0,0.2219799
60.0,0.202208
70.0,0.195944
80.0,0.1993416
90.0,0.2247623
100.0,0.1999351
110.0,0.2427527
120.0,0.1857768
130.0,0.183777
140.0,0.2071932
150.0,0.189423
160.0,0.2140538
170.0,0.2169103
180.0,0.2003273
190.0,0.2136212
200.0,0.2190342
210.0,0.2070314
220.0,0.222045
230.0,0.1900841
240.0,0.2149463
250.0,0.1974159
260.0,0.2286177
270.0,0.221768
280.0,0.1992811
290.0,0.1910943
300.0,0.2145649
310.0,0.2472449
320.0,0.2143687
330.0,0.2051291
340.0,0.227141
350.0,0.2064196
360.0,0.1902734
370.0,0.241466
380.0,0.2137054
390.0,0.2299588
400.0,0.2257653
410.0,0.1877389
420.0,0.2123583
430.0,0.1888385
440.0,0.2239217
450.0,0.2328541
460.0,0.2157891
470.0,0.1917028
480.0,0.1975576
490.0,0.1946307
500.0,0.2077019
510.0,0.2206014
520.0,0.209566
530.0,0.1872673
540.0,0.2023388
550.0,0.2251247
560.0,0.206199
570.0,0.1890662
580.0,0.1866869
590.0,0.230367
600.0,0.192229
610.0,0.2133422
620.0,0.1848757
630.0,0.1851514
640.0,0.2193743
650.0,0.2054289
660.0,0.2049707
670.0,0.2297844
680.0,0.2051051
690.0,0.1834556
700.0,0.2059754
710.0,0.2053898
720.0,0.2211652
730.0,0.1857338
740.0,0.1968271
750.0,0.1933365
760.0,0.2322842
770.0,0.2083218
780.0,0.221278
790.0,0.2172051
800.0,0.199251
810.0,0.2193742
820.0,0.2059249
830.0,0.1984615
840.0,0.2276336
850.0,0.2007934
860.0,0.1867327
870.0,0.2206582
880.0,0.1887352
890.0,0.2075838
900.0,0.2124571
910.0,0.1833684
920.0,0.1853131
930.0,0.2104184
940.0,0.2185818
950.0,0.2208957
960.0,0.1929769
970.0,0.1868076
980.0,0.2067995
990.0,0.2297411
1000.0,0.1893699
1010.0,0.2131173
1020.0,0.2225688
1030.0,0.2351957
1040.0,0.2129863
1050.0,0.2237568
1060.0,0.2245639
1070.0,0.2206785
1080.0,0.2294802
1090.0,0.1956272
1100.0,0.2032017
1110.0,0.226206
1120.0,0.2287664
1130.0,0.2246307
1140.0,0.2556934
1150.0,0.226146
1160.0,0.2319935
1170.0,0.19139
1180.0,0.1877714
1190.0,0.2113957
1200.0,0.2170047
1210.0,0.2042205
1220.0,0.2160558
1230.0,0.2197705
1240.0,0.1942808
1250.0,0.2309153
1260.0,0.1891715
1270.0,0.2047706
1280.0,0.1956245
1290.0,0.2280832
1300.0,0.2183391
1310.0,0.2242722
1320.0,0.2384892
1330.0,0.22488
1340.0,0.2246844
1350.0,0.2168893
1360.0,0.216243
1370.0,0.2287114
1380.0,0.2260223
1390.0,0.2300023
1400.0,0.2092083
1410.0,0.2284845
1420.0,0.2215716
1430.0,0.2241564
1440.0,0.2246729
1450.0,0.2247241
1460.0,0.2279056
1470.0,0.2232624
1480.0,0.2229913
1490.0,0.2308725
1500.0,0.2259779
1510.0,0.232678
1520.0,0.2347556
1530.0,0.2247904
1540.0,0.2253666
1550.0,0.2307159
1560.0,0.2454728
1570.0,0.2154765
1580.0,0.2138831
1590.0,0.209392
1600.0,0.2459981
1610.0,0.2873272
1620.0,0.2414682
1630.0,0.2328047
1640.0,0.244305
1650.0,0.2453284
1660.0,0.2442007
1670.0,0.2266208
1680.0,0.2530359
1690.0,0.1797471
1700.0,0.2007635
1710.0,0.1853585
1720.0,0.2278815
1730.0,0.2047971
1740.0,0.2036884
1750.0,0.1920283
1760.0,0.2416012
1770.0,0.2487028
1780.0,0.2379288
1790.0,0.2291508
1800.0,0.2015759
1810.0,0.2327941
1820.0,0.1731674
1830.0,0.1885235
1840.0,0.2130423
1850.0,0.2429692
1860.0,0.2438567
1870.0,0.2377647
1880.0,0.2453022
1890.0,0.2339871
1900.0,0.2132302
1910.0,0.223549
1920.0,0.2010497
1930.0,0.1914942
1940.0,0.2339334
1950.0,0.232002
1960.0,0.2173706
1970.0,0.2291813
1980.0,0.2310003
1990.0,0.2076579
2000.0,0.2331723
2010.0,0.2271675
2020.0,0.2294007
2030.0,0.2223645
2040.0,0.2243881
2050.0,0.2218963
2060.0,0.2255968
2070.0,0.2172301
