time_ps,rmsd_nm
0.0,0.0004747
0.01,0.0452041
0.02,0.0569633
0.03,0.0351756
0.04,0.0477812
0.05,0.0498278
0.06,0.0521529
0.07,0.0769363
0.08,0.0626062
0.09,0.052736
0.1,0.060737
0.11,0.0753186
0.12,0.0674473
0.13,0.0769569
0.14,0.0517005
0.15,0.0613283
0.16,0.0483196
0.17,0.0514681
0.18,0.079291
0.19,0.0569777
0.2,0.0592849
0.21,0.0648804
0.22,0.0712442
0.23,0.0788535
0.24,0.0646436
0.25,0.0871042
0.26,0.1229678
0.27,0.1077262
0.28,0.1041005
0.29,0.1057581
0.3,0.0982696
0.31,0.1118935
0.32,0.130783
0.33,0.1119853
0.34,0.1175355
0.35,0.0928089
0.36,0.0899435
0.37,0.1042119
0.38,0.114079
0.39,0.0986863
0.4,0.1180672
0.41,0.1238694
0.42,0.1039698
0.43,0.0970823
0.44,0.1078664
0.45,0.0825142
0.46,0.117474
0.47,0.1140939
0.48,0.1304659
0.49,0.1133143
0.5,0.0877341
0.5100001,0.0945486
0.52,0.1067581
0.53,0.1231668
0.54,0.1206984
0.55,0.1184909
0.56,0.108112
0.5700001,0.1325444
0.58,0.1171838
0.59,0.1310775
0.6,0.1217159
0.61,0.0993585
0.62,0.1345461
0.6300001,0.1140025
0.64,0.1141025
0.65,0.1083276
0.66,0.0964055
0.67,0.1253829
0.68,0.1171847
0.6900001,0.1356428
0.7,0.139245
0.71,0.1542525
0.72,0.1196671
0.73,0.1047448
0.74,0.0823884
0.7500001,0.0947587
0.7600001,0.0829069
0.77,0.1229172
0.78,0.0982254
0.79,0.1003265
0.8,0.1118988
0.8100001,0.0901701
0.8200001,0.0754241
0.83,0.0739314
0.84,0.1016848
0.85,0.1058974
0.86,0.0958594
0.8700001,0.0938478
0.8800001,0.0945889
0.89,0.0968689
0.9,0.0614895
0.91,0.0671633
0.92,0.0972427
0.9300001,0.0683206
0.9400001,0.0697187
0.95,0.089257
0.96,0.0781412
0.97,0.0818669
0.98,0.0986338
0.9900001,0.0955756
1.0,0.0906492
1.01,0.0753559
1.0200001,0.0611926
1.0300001,0.0671469
1.0400001,0.0687829
1.0500001,0.0981168
1.0600001,0.0901475
1.0700001,0.10384
1.08,0.0581637
1.09,0.1055657
1.1,0.0996704
1.11,0.1086619
1.12,0.1109094
1.13,0.0685132
1.1400001,0.085344
1.1500001,0.0875158
1.1600001,0.0977105
1.1700001,0.0869555
1.1800001,0.1103494
1.1900001,0.0965827
1.2,0.1008509
1.21,0.0853023
1.22,0.1151212
1.23,0.1242881
1.24,0.1209806
1.25,0.0955814
1.2600001,0.0925891
1.2700001,0.1012117
1.2800001,0.0858802
1.2900001,0.1024018
1.3000001,0.0940631
1.3100001,0.1012855
1.3200001,0.1032773
1.33,0.1008477
1.34,0.0940635
1.35,0.1090304
1.36,0.1129567
1.3700001,0.0891885
1.3800001,0.0851757
1.3900001,0.0953024
1.4000001,0.101932
1.4100001,0.0747138
1.4200001,0.1175875
1.4300001,0.140679
1.4400001,0.1475924
1.45,0.1384203
1.46,0.1024629
1.47,0.1216446
1.48,0.1260036
1.4900001,0.1418283
1.5000001,0.1506566
1.5100001,0.1267889
1.5200001,0.100003
1.5300001,0.1181983
1.5400001,0.121431
1.5500001,0.1097036
1.5600001,0.1273383
1.5700001,0.1519428
1.58,0.1293873
1.59,0.118515
1.6,0.107423
1.6100001,0.1309066
1.6200001,0.1353864
1.6300001,0.1237582
1.6400001,0.1142824
1.6500001,0.1508011
1.6600001,0.1199295
1.6700001,0.1386029
1.6800001,0.1268049
1.6900001,0.1296191
1.7,0.1558966
1.71,0.1392203
1.72,0.1476493
1.7300001,0.127948
1.7400001,0.1146854
1.7500001,0.1250214
1.7600001,0.1340902
1.7700001,0.1070692
1.7800001,0.1359082
1.7900001,0.1222685
1.8000001,0.1332126
1.8100001,0.1334429
1.8200001,0.1414349
1.83,0.1367665
1.84,0.1614732
1.8500001,0.1166704
1.8600001,0.1329307
1.8700001,0.1458222
1.8800001,0.1606115
1.8900001,0.1323196
1.9000001,0.1275411
1.9100001,0.1410773
1.9200001,0.1373455
1.9300001,0.1404255
1.9400001,0.1475663
1.95,0.1053123
1.96,0.1293206
1.9700001,0.1173773
1.9800001,0.09538
1.9900001,0.1179775
2.0,0.1352927
2.01,0.1152359
2.02,0.1225467
2.0300002,0.1248724
2.0400002,0.1379253
2.0500002,0.1120737
2.0600002,0.1128832
2.0700002,0.1262452
2.0800002,0.1362616
2.0900002,0.1390861
2.1000001,0.1280846
2.1100001,0.1504447
2.1200001,0.1404077
2.1300001,0.1367666
2.1400001,0.1318963
2.1500001,0.150658
2.1600001,0.1657687
2.1700001,0.1816103
2.1800001,0.1611285
2.1900001,0.1969536
2.2,0.1543836
2.21,0.2006275
2.22,0.1794034
2.23,0.1885841
2.24,0.1850755
2.25,0.1804595
2.26,0.2182622
2.2700002,0.1927696
2.2800002,0.181907
2.2900002,0.1952821
2.3000002,0.1949348
2.3100002,0.2227718
2.3200002,0.2061282
2.3300002,0.2013121
2.3400002,0.2134099
2.3500001,0.2401437
2.3600001,0.1663327
2.3700001,0.1442653
2.3800001,0.195215
2.3900001,0.1815617
2.4000001,0.187538
2.4100001,0.2088028
2.4200001,0.1665419
2.4300001,0.1953484
2.4400001,0.1732509
2.45,0.1623223
2.46,0.1726251
2.47,0.1387161
2.48,0.1680871
2.49,0.1712685
2.5,0.1902014
2.5100002,0.1604318
2.5200002,0.1501434
2.5300002,0.1548359
2.5400002,0.1440972
2.5500002,0.1364093
2.5600002,0.1556394
2.5700002,0.1588162
2.5800002,0.1546085
2.5900002,0.1752823
2.6000001,0.1327398
2.6100001,0.131387
2.6200001,0.132496
2.6300001,0.1424748
2.6400001,0.1275411
2.6500001,0.1216188
2.6600001,0.1308726
2.6700001,0.1468988
2.6800001,0.1220701
2.6900001,0.1491717
2.7,0.1388595
2.71,0.151104
2.72,0.1530605
2.73,0.135366
2.7400002,0.1587336
2.7500002,0.136858
2.7600002,0.1507274
2.7700002,0.1502243
2.7800002,0.1612861
2.7900002,0.1497038
2.8000002,0.1524595
2.8100002,0.1370644
2.8200002,0.143399
2.8300002,0.1640242
2.8400002,0.1541211
2.8500001,0.1489864
2.8600001,0.1456422
2.8700001,0.1345831
2.8800001,0.1317315
2.8900001,0.1527234
2.9000001,0.1347072
2.9100001,0.1492968
2.9200001,0.1556432
2.9300001,0.1457541
2.9400001,0.1242545
2.95,0.1337372
2.96,0.134489
2.97,0.1272957
2.9800003,0.1994986
2.9900002,0.1648008
3.0000002,0.182672
3.0100002,0.1817986
3.0200002,0.1896735
3.0300002,0.1882294
3.0400002,0.2129713
3.0500002,0.1875674
3.0600002,0.1969657
3.0700002,0.2012437
3.0800002,0.1592036
3.0900002,0.1507383
3.1000001,0.1243461
3.1100001,0.0870225
3.1200001,0.0989547
3.1300001,0.1007336
3.1400001,0.0977539
3.1500001,0.0947429
3.1600001,0.0967715
3.1700001,0.1080399
3.1800001,0.0943063
3.1900001,0.1008581
3.2,0.0812096
3.21,0.0841912
3.2200003,0.1073878
3.2300003,0.1225158
3.2400002,0.1214793
3.2500002,0.1095476
3.2600002,0.1286735
3.2700002,0.1317022
3.2800002,0.127487
3.2900002,0.1317218
3.3000002,0.1660356
3.3100002,0.1553025
3.3200002,0.1612453
3.3300002,0.176457
3.3400002,0.1659089
3.3500001,0.1825051
3.3600001,0.1307532
3.3700001,0.1472257
3.3800001,0.1413745
3.3900001,0.1635852
3.4000001,0.1874099
3.4100001,0.193073
3.4200001,0.1683495
3.4300001,0.1543887
3.4400001,0.1919746
3.45,0.2012243
3.4600003,0.1784013
3.4700003,0.1889465
3.4800003,0.187811
3.4900002,0.186292
3.5000002,0.2033971
3.5100002,0.2077024
3.5200002,0.1982485
3.5300002,0.1972719
3.5400002,0.1792518
3.5500002,0.167611
3.5600002,0.2116623
3.5700002,0.1865378
3.5800002,0.1799706
3.5900002,0.1637688
3.6000001,0.1674235
3.6100001,0.1828654
3.6200001,0.2225624
3.6300001,0.2100157
3.6400001,0.1900085
3.6500001,0.2097341
3.6600001,0.1998022
3.6700001,0.179977
3.6800001,0.1668823
3.6900001,0.172949
3.7000003,0.1577641
3.7100003,0.1587425
3.7200003,0.1810358
3.7300003,0.1522593
3.7400002,0.1648157
3.7500002,0.1696795
3.7600002,0.1687149
3.7700002,0.1821706
3.7800002,0.1360345
3.7900002,0.1643956
3.8000002,0.1762994
3.8100002,0.192319
3.8200002,0.2168524
3.8300002,0.1992218
3.8400002,0.1905712
3.8500001,0.1852461
3.8600001,0.1762496
3.8700001,0.1733853
3.8800001,0.1721314
3.8900001,0.1635448
3.9000001,0.175214
3.9100001,0.1815794
3.9200001,0.1933777
3.9300003,0.2120554
3.9400003,0.2093657
3.9500003,0.1684676
3.9600003,0.1843483
3.9700003,0.1684883
3.9800003,0.1739343
3.9900002,0.1673333
4.0,0.1550779
4.0100002,0.1928655
4.02,0.2002016
4.0300002,0.2059528
4.04,0.1963923
4.0500002,0.1869935
4.0600004,0.1939523
4.0700002,0.2249714
4.0800004,0.2141174
4.0900002,0.2026233
4.1000004,0.1475691
4.1100001,0.125932
4.1200004,0.1371798
4.1300001,0.1572163
4.1400003,0.1602261
4.1500001,0.1395012
4.1600003,0.1704944
4.1700001,0.2044023
4.1800003,0.1681577
4.1900001,0.1683172
4.2000003,0.1266968
4.21,0.1723466
4.2200003,0.2010989
4.23,0.263443
4.2400002,0.2567913
4.25,0.2166087
4.2600002,0.2408461
4.27,0.1515824
4.2800002,0.1555214
4.2900004,0.1375065
4.3000002,0.1341187
4.3100004,0.1627494
4.3200002,0.1435482
4.3300004,0.1337683
4.3400002,0.1233228
4.3500004,0.1666707
4.3600001,0.1429399
4.3700004,0.1344138
4.3800001,0.1552543
4.3900003,0.1718658
4.4000001,0.1437603
4.4100003,0.1271901
4.4200001,0.1474882
4.4300003,0.1350395
4.4400001,0.1137854
4.4500003,0.1293178
4.46,0.1211026
4.4700003,0.141715
4.48,0.1427989
4.4900002,0.1395926
4.5,0.1205025
4.5100002,0.1124765
4.52,0.108539
4.5300002,0.1233225
4.5400004,0.1239484
4.5500002,0.130813
4.5600004,0.1702963
4.5700002,0.2211783
4.5800004,0.1753702
4.5900002,0.1766485
4.6000004,0.1521331
4.6100001,0.1710815
4.6200004,0.2166637
4.6300001,0.1558189
4.6400003,0.1831945
4.6500001,0.148789
4.6600003,0.146745
4.6700001,0.1430202
4.6800003,0.1253727
4.6900001,0.1126756
4.7000003,0.129828
4.71,0.1241286
4.7200003,0.1239301
4.73,0.121084
4.7400002,0.120859
4.75,0.1028111
4.7600002,0.1161524
4.7700005,0.1174567
4.7800002,0.1317369
4.7900004,0.1233674
4.8000002,0.1230877
4.8100004,0.1230242
4.8200002,0.1291707
4.8300004,0.1435417
4.8400002,0.1337876
4.8500004,0.1334838
4.8600001,0.1621441
4.8700004,0.1817537
4.8800001,0.2112689
4.8900003,0.1861766
4.9000001,0.2168113
4.9100003,0.2387888
4.9200001,0.250762
4.9300003,0.3259002
4.9400001,0.2969459
4.9500003,0.2996727
4.96,0.3111576
4.9700003,0.2768373
4.98,0.2635771
4.9900002,0.3130218
5.0,0.3402415
5.0100002,0.30959
