time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
0.0,3.44138,2.87148,2.97579,2.56621
10.0,3.45237,2.88961,2.97446,2.57692
20.0,3.49889,2.9221,3.02331,2.60872
30.0,3.50486,2.92634,3.02703,2.61566
40.0,3.47757,2.8967,3.00319,2.60325
50.0,3.47196,2.89652,2.99628,2.59643
60.0,3.44676,2.88116,2.96934,2.57725
70.0,3.43317,2.87096,2.95299,2.57113
80.0,3.40942,2.85191,2.93056,2.55474
90.0,3.42733,2.86748,2.9463,2.56711
100.0,3.46265,2.89542,2.96296,2.61099
110.0,3.50126,2.92316,3.00213,2.63817
120.0,3.51359,2.93663,3.00101,2.65721
130.0,3.50295,2.92308,2.9939,2.65205
140.0,3.48121,2.90468,2.97306,2.63844
150.0,3.44314,2.88166,2.93394,2.60739
160.0,3.41963,2.85985,2.91617,2.58937
170.0,3.44266,2.87308,2.94198,2.60653
180.0,3.47177,2.89773,2.96334,2.63215
190.0,3.46497,2.89099,2.96719,2.61724
200.0,3.46473,2.90143,2.95611,2.61762
210.0,3.44768,2.88779,2.94801,2.59672
220.0,3.45882,2.90676,2.95043,2.60244
230.0,3.40421,2.86089,2.90253,2.5628
240.0,3.36839,2.82234,2.87978,2.53639
250.0,3.34676,2.80673,2.85835,2.52066
260.0,3.3537,2.81409,2.8777,2.50886
270.0,3.34348,2.79691,2.87268,2.50654
280.0,3.33179,2.78686,2.85129,2.51102
290.0,3.31342,2.77246,2.83445,2.49739
300.0,3.32621,2.77806,2.84245,2.516
310.0,3.31861,2.77347,2.83968,2.50408
320.0,3.31495,2.77614,2.82978,2.50263
330.0,3.29805,2.7579,2.82329,2.48541
340.0,3.25949,2.71974,2.79933,2.4526
350.0,3.3079,2.75623,2.8525,2.4801
360.0,3.35111,2.79599,2.88899,2.50919
370.0,3.355,2.79375,2.89914,2.51039
380.0,3.37721,2.81029,2.92853,2.51735
390.0,3.36648,2.80799,2.90396,2.51965
400.0,3.4132,2.84537,2.94926,2.55061
410.0,3.40775,2.83752,2.93894,2.55668
420.0,3.42466,2.85573,2.94781,2.57135
430.0,3.4483,2.86662,2.9758,2.59011
440.0,3.50025,2.89848,3.03623,2.62366
450.0,3.46601,2.86447,3.00928,2.60105
460.0,3.50548,2.89455,3.04864,2.62758
470.0,3.48575,2.8805,3.02548,2.61726
480.0,3.49163,2.88177,3.03266,2.62324
490.0,3.49464,2.87831,3.04668,2.61881
500.0,3.49642,2.88049,3.0501,2.61717
510.0,3.48798,2.86793,3.04623,2.61293
520.0,3.47046,2.85529,3.03636,2.59153
530.0,3.47173,2.86087,3.02852,2.59794
540.0,3.44125,2.84157,2.99027,2.58229
550.0,3.43434,2.83379,2.98276,2.58112
560.0,3.44465,2.84099,2.99375,2.58796
570.0,3.46493,2.86419,3.00227,2.60658
580.0,3.44593,2.84884,2.98112,2.59727
590.0,3.42647,2.83746,2.97785,2.56177
600.0,3.43009,2.84247,2.985,2.55758
610.0,3.41265,2.83707,2.95433,2.55251
620.0,3.36427,2.79381,2.92169,2.50897
630.0,3.33271,2.76273,2.90197,2.4819
640.0,3.33087,2.76751,2.89144,2.48393
650.0,3.30177,2.75006,2.84059,2.48427
660.0,3.35646,2.80248,2.88994,2.51514
670.0,3.38128,2.82144,2.91857,2.52736
680.0,3.38491,2.82673,2.92371,2.52522
690.0,3.39534,2.83094,2.9257,2.54613
700.0,3.40903,2.8362,2.948,2.55114
710.0,3.41182,2.82748,2.9593,2.55519
720.0,3.41018,2.82426,2.95463,2.55976
730.0,3.39872,2.81468,2.93802,2.55894
740.0,3.41564,2.8254,2.96127,2.56538
750.0,3.44248,2.82543,3.00348,2.58793
760.0,3.46123,2.83577,3.02872,2.59721
770.0,3.43846,2.81731,3.00777,2.5811
780.0,3.47261,2.84954,3.04074,2.59847
790.0,3.50359,2.86605,3.07776,2.61981
800.0,3.52084,2.87006,3.09992,2.6355
810.0,3.48217,2.8434,3.06014,2.608
820.0,3.4973,2.85561,3.07447,2.61829
830.0,3.53148,2.88336,3.1089,2.63887
840.0,3.48965,2.84572,3.06994,2.61394
850.0,3.50907,2.85536,3.09596,2.6247
860.0,3.48629,2.83671,3.07661,2.60689
870.0,3.46163,2.81892,3.05771,2.5826
880.0,3.48951,2.84256,3.08386,2.60058
890.0,3.44515,2.80115,3.04161,2.57687
900.0,3.46284,2.81443,3.05298,2.5963
910.0,3.48283,2.81403,3.0777,2.62091
920.0,3.50752,2.83166,3.11152,2.62784
930.0,3.49105,2.82823,3.08903,2.61416
940.0,3.5084,2.845,3.1124,2.6147
950.0,3.47832,2.83241,3.08372,2.58179
960.0,3.5006,2.85118,3.10622,2.59433
970.0,3.53958,2.8724,3.14967,2.62415
980.0,3.52426,2.86088,3.13734,2.61021
990.0,3.53368,2.87361,3.15192,2.60416
1000.0,3.52373,2.86465,3.14432,2.59622
1010.0,3.52116,2.85458,3.14457,2.60002
1020.0,3.5032,2.84854,3.12754,2.57859
1030.0,3.50841,2.85807,3.12468,2.58566
1040.0,3.49953,2.85413,3.11552,2.57699
1050.0,3.5081,2.86351,3.12454,2.57898
1060.0,3.5001,2.86175,3.11757,2.56759
1070.0,3.49841,2.85602,3.10732,2.58176
1080.0,3.54003,2.88409,3.1589,2.60134
1090.0,3.50698,2.86443,3.13094,2.56712
1100.0,3.54541,2.88595,3.17699,2.59188
1110.0,3.51756,2.85944,3.15396,2.57344
1120.0,3.54074,2.87157,3.18777,2.58186
1130.0,3.58317,2.89943,3.23768,2.60555
1140.0,3.58814,2.89792,3.24824,2.60776
1150.0,3.58107,2.89608,3.23837,2.60264
1160.0,3.59312,2.91052,3.24748,2.60841
1170.0,3.55063,2.8799,3.20668,2.57631
1180.0,3.59122,2.90042,3.25285,2.60773
1190.0,3.61765,2.911,3.2838,2.63012
1200.0,3.55573,2.86485,3.22411,2.58537
1210.0,3.59707,2.8881,3.26625,2.62074
1220.0,3.57044,2.86129,3.24088,2.60879
1230.0,3.59727,2.87196,3.27824,2.62406
1240.0,3.648,2.92532,3.32456,2.64681
1250.0,3.63901,2.90018,3.32143,2.65366
1260.0,3.68729,2.94052,3.376,2.6736
1270.0,3.636,2.89228,3.33648,2.63505
1280.0,3.65606,2.90838,3.36175,2.64074
1290.0,3.6917,2.93205,3.39962,2.66515
1300.0,3.68712,2.92647,3.39229,2.66794
1310.0,3.68515,2.91363,3.39636,2.67135
1320.0,3.66494,2.90466,3.37157,2.65688
1330.0,3.62944,2.87798,3.3421,2.6255
1340.0,3.71844,2.94698,3.42634,2.68872
1350.0,3.74079,2.96621,3.45182,2.69696
1360.0,3.67635,2.91351,3.38426,2.6626
1370.0,3.64826,2.89558,3.35123,2.6466
1380.0,3.68787,2.9197,3.39404,2.67519
1390.0,3.72003,2.93674,3.42518,2.70573
1400.0,3.72304,2.93857,3.42563,2.71145
1410.0,3.6411,2.87113,3.34634,2.65968
