time_ps,rmsd_nm
0.0,0.0004661
0.01,0.1391886
0.02,0.1471868
0.03,0.1839221
0.04,0.1971057
0.05,0.1375503
0.06,0.1525913
0.07,0.1905582
0.08,0.252891
0.09,0.2446511
0.1,0.2230997
0.11,0.2617532
0.12,0.2400148
0.13,0.2860367
0.14,0.2414097
0.15,0.2840701
0.16,0.2868197
0.17,0.3030248
0.18,0.257713
0.19,0.2926242
0.2,0.338542
0.21,0.310304
0.22,0.3103226
0.23,0.3131951
0.24,0.3454416
0.25,0.3084503
0.26,0.3040063
0.27,0.3339525
0.28,0.3488722
0.29,0.3591481
0.3,0.3236875
0.31,0.3267598
0.32,0.2793213
0.33,0.3293701
0.34,0.3290434
0.35,0.3252554
0.36,0.2993623
0.37,0.3043841
0.38,0.3346528
0.39,0.2878888
0.4,0.292134
0.41,0.2803099
0.42,0.2787217
0.43,0.300358
0.44,0.2703584
0.45,0.2815839
0.46,0.2954371
0.47,0.3097867
0.48,0.2867163
0.49,0.2649867
0.5,0.2791895
0.5100001,0.2812885
0.52,0.299998
0.53,0.3318714
0.54,0.3449745
0.55,0.3184525
0.56,0.3378552
0.5700001,0.3806415
0.58,0.3975107
0.59,0.4634312
0.6,0.4651293
0.61,0.3986468
0.62,0.4488209
0.6300001,0.5134
0.64,0.5259226
0.65,0.5587778
0.66,0.5107547
0.67,0.5568276
0.68,0.5768385
0.6900001,0.5920852
0.7,0.5189431
0.71,0.5869881
0.72,0.5827212
0.73,0.558471
0.74,0.5284446
0.7500001,0.5359523
0.7600001,0.5352289
0.77,0.5257424
0.78,0.5632381
0.79,0.5928974
0.8,0.515872
0.8100001,0.504965
0.8200001,0.6293338
0.83,0.617648
0.84,0.6063264
0.85,0.5301713
0.86,0.6140421
0.8700001,0.5904203
0.8800001,0.6064129
0.89,0.6891695
0.9,0.67699
0.91,0.6492145
0.92,0.6067458
0.9300001,0.6102403
0.9400001,0.6599118
0.95,0.6771623
0.96,0.6336259
0.97,0.6413476
0.98,0.6853244
0.9900001,0.6995395
1.0,0.6725615
