time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
0.0,3.60777,2.91723,3.30089,2.57408
10.0,3.59841,2.90717,3.29996,2.56042
20.0,3.62127,2.91706,3.32443,2.58187
30.0,3.58119,2.89188,3.27455,2.56207
40.0,3.6327,2.92454,3.32839,2.60036
50.0,3.65389,2.93282,3.36575,2.60233
60.0,3.6192,2.91326,3.32553,2.57894
70.0,3.5768,2.88564,3.28073,2.5489
80.0,3.57705,2.88911,3.27126,2.55783
90.0,3.56551,2.88206,3.25309,2.55673
100.0,3.56637,2.88531,3.24798,2.56196
110.0,3.56609,2.88856,3.24519,2.56103
120.0,3.58426,2.89893,3.26493,2.57493
130.0,3.5844,2.89367,3.2722,2.57201
140.0,3.58013,2.8862,3.26665,2.57557
150.0,3.59721,2.89149,3.28393,2.59519
160.0,3.62139,2.90733,3.30688,2.61551
170.0,3.63058,2.91254,3.32257,2.6153
180.0,3.63315,2.90574,3.33205,2.61795
190.0,3.67762,2.9343,3.38182,2.64632
200.0,3.66961,2.92786,3.37597,2.63865
210.0,3.64879,2.89962,3.36161,2.63042
220.0,3.59835,2.85407,3.31425,2.60121
230.0,3.61985,2.86699,3.3353,2.61969
240.0,3.61382,2.8483,3.33314,2.62616
250.0,3.60281,2.84252,3.32072,2.61789
260.0,3.57615,2.82345,3.2914,2.60241
270.0,3.53188,2.79372,3.24589,2.57054
280.0,3.48654,2.77835,3.19619,2.52529
290.0,3.48117,2.76767,3.19467,2.52412
300.0,3.45488,2.7489,3.17551,2.49641
310.0,3.41891,2.72916,3.13005,2.47637
320.0,3.45161,2.75785,3.16429,2.49175
330.0,3.44238,2.74559,3.15983,2.48539
340.0,3.44238,2.75595,3.15126,2.48481
350.0,3.41557,2.74085,3.12871,2.45585
360.0,3.43561,2.74822,3.14605,2.48123
370.0,3.45398,2.77398,3.1694,2.47384
380.0,3.40956,2.73851,3.11721,2.45636
390.0,3.37963,2.71594,3.09097,2.43173
400.0,3.34495,2.69333,3.04839,2.41469
410.0,3.34783,2.70601,3.04411,2.41388
420.0,3.28526,2.65752,2.98027,2.37519
430.0,3.27039,2.64535,2.96272,2.36965
440.0,3.26874,2.63508,2.98107,2.35348
450.0,3.28401,2.64234,3.00706,2.35481
460.0,3.28969,2.6379,3.01879,2.36061
470.0,3.27125,2.61985,2.99674,2.35755
480.0,3.28166,2.63908,2.99527,2.36689
490.0,3.29885,2.65273,3.00927,2.38164
500.0,3.32491,2.66997,3.03645,2.40028
510.0,3.32186,2.66387,3.03931,2.39499
520.0,3.28291,2.64039,2.99923,2.36388
530.0,3.31878,2.66017,3.04159,2.38763
540.0,3.34446,2.66999,3.07053,2.41117
550.0,3.33993,2.67135,3.05653,2.4149
560.0,3.38007,2.70643,3.10013,2.43191
570.0,3.38473,2.70476,3.11068,2.43326
580.0,3.36106,2.68719,3.08342,2.42178
590.0,3.42519,2.73495,3.14501,2.46837
600.0,3.39673,2.70569,3.1164,2.45821
610.0,3.45808,2.7548,3.17586,2.49832
620.0,3.46989,2.77004,3.18014,2.50874
630.0,3.46252,2.7696,3.16695,2.50557
640.0,3.44745,2.76476,3.14123,2.50173
650.0,3.45439,2.77923,3.13532,2.51221
660.0,3.46453,2.7791,3.15119,2.52043
670.0,3.47758,2.7903,3.16572,2.52579
680.0,3.50513,2.80359,3.19571,2.54935
690.0,3.52735,2.81656,3.22183,2.56343
700.0,3.55191,2.83066,3.25022,2.57984
710.0,3.55337,2.83585,3.2515,2.57655
720.0,3.52966,2.81807,3.2257,2.56326
730.0,3.56946,2.85137,3.26726,2.58396
740.0,3.51682,2.82061,3.20619,2.54961
750.0,3.5434,2.84175,3.23397,2.56464
760.0,3.54083,2.83885,3.23106,2.56441
770.0,3.55424,2.85285,3.24782,2.5648
780.0,3.54208,2.85187,3.22714,2.55833
790.0,3.51914,2.82409,3.21591,2.53992
800.0,3.53081,2.831,3.2286,2.5485
810.0,3.51161,2.80851,3.22055,2.53043
820.0,3.51144,2.81231,3.22158,2.52445
830.0,3.517,2.8239,3.21415,2.53643
840.0,3.47671,2.79494,3.17126,2.51128
850.0,3.47911,2.79422,3.18588,2.50017
860.0,3.50562,2.82239,3.20933,2.51258
870.0,3.51707,2.83689,3.22204,2.51199
880.0,3.55109,2.8612,3.26265,2.52766
890.0,3.52714,2.84913,3.23046,2.51555
900.0,3.48962,2.81969,3.19718,2.48642
910.0,3.48531,2.8158,3.19008,2.48785
920.0,3.40108,2.76094,3.11066,2.41573
930.0,3.43163,2.78588,3.13605,2.44053
940.0,3.46213,2.80568,3.16099,2.47166
950.0,3.48105,2.8205,3.1822,2.48067
960.0,3.43702,2.77852,3.13543,2.46477
970.0,3.42032,2.76584,3.12066,2.45128
980.0,3.44891,2.78565,3.15669,2.46282
990.0,3.47818,2.80792,3.18349,2.48524
1000.0,3.50641,2.83964,3.19479,2.51388
1010.0,3.54139,2.87123,3.22065,2.54289
1020.0,3.49885,2.83164,3.18535,2.51382
1030.0,3.49397,2.83562,3.18589,2.495
1040.0,3.5414,2.86318,3.24797,2.51714
1050.0,3.53519,2.86288,3.2343,2.51761
1060.0,3.50679,2.83979,3.20921,2.49633
1070.0,3.48475,2.82215,3.18986,2.47935
1080.0,3.43803,2.7861,3.13693,2.45712
1090.0,3.39985,2.76245,3.09517,2.43039
1100.0,3.36983,2.73907,3.06874,2.40661
1110.0,3.36737,2.73591,3.0637,2.40974
1120.0,3.38096,2.74847,3.07871,2.41439
1130.0,3.35342,2.72847,3.05047,2.39602
1140.0,3.33264,2.70873,3.02412,2.39382
1150.0,3.30522,2.67742,3.00122,2.38181
1160.0,3.32209,2.6967,3.0111,2.39452
1170.0,3.31572,2.69374,2.99747,2.39728
1180.0,3.32027,2.6972,3.01195,2.3878
1190.0,3.30231,2.69248,2.97491,2.38976
1200.0,3.2994,2.69377,2.9716,2.38438
1210.0,3.29139,2.69293,2.95801,2.38007
1220.0,3.31609,2.70997,2.98568,2.39471
1230.0,3.30546,2.68987,2.99418,2.37732
1240.0,3.31732,2.69895,3.01687,2.37137
1250.0,3.33028,2.70979,3.03542,2.37166
1260.0,3.36891,2.74588,3.07799,2.38437
1270.0,3.35048,2.7299,3.0667,2.36525
1280.0,3.34217,2.71509,3.06989,2.35462
1290.0,3.3378,2.71477,3.05011,2.36827
1300.0,3.33664,2.71907,3.05481,2.35395
1310.0,3.3332,2.7221,3.05049,2.34631
1320.0,3.3197,2.72266,3.03562,2.32658
1330.0,3.3472,2.74269,3.05812,2.35224
1340.0,3.34012,2.73471,3.04424,2.3594
1350.0,3.32102,2.71599,3.03473,2.33927
1360.0,3.39898,2.7766,3.11459,2.38662
1370.0,3.36746,2.74902,3.09012,2.36086
1380.0,3.35821,2.73919,3.08041,2.35861
1390.0,3.3893,2.76108,3.11806,2.37251
1400.0,3.36955,2.7577,3.08984,2.35705
1410.0,3.3553,2.73946,3.08852,2.33935
1420.0,3.35512,2.7424,3.08186,2.34416
1430.0,3.36794,2.74695,3.09352,2.36017
1440.0,3.39989,2.77919,3.12258,2.37573
1450.0,3.36888,2.75067,3.09488,2.35675
1460.0,3.34639,2.73277,3.07866,2.33463
1470.0,3.36376,2.75243,3.08773,2.34943
1480.0,3.38689,2.76173,3.11489,2.36904
1490.0,3.41088,2.77648,3.14492,2.38092
1500.0,3.35996,2.73136,3.09596,2.3523
1510.0,3.3968,2.7588,3.13652,2.37228
1520.0,3.39644,2.76367,3.13899,2.3623
1530.0,3.42565,2.79579,3.16368,2.37589
1540.0,3.42941,2.794,3.1654,2.38652
1550.0,3.42519,2.7922,3.15408,2.3915
1560.0,3.44853,2.79941,3.18205,2.41302
1570.0,3.47098,2.81792,3.20518,2.4252
1580.0,3.47596,2.82223,3.20624,2.43301
1590.0,3.47093,2.82384,3.19144,2.43624
