system,rep,term,mean_kcal_per_mol,sd_kcal_per_mol,sem_kcal_per_mol,source
drugs3003,rep3,GGAS,208.92,7.76,6.47,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs3003,rep3,GSOLV,-150.09,2.32,2.31,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep1,VDWAALS,-13.68,2.16,2.16,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep1,EEL,1.81,2.89,2.89,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep1,EGB,-68.47,2.75,2.75,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep1,ESURF,6.32,0.12,0.12,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep1,GGAS,89.88,8.54,8.13,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep1,GSOLV,-62.15,2.75,2.69,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep2,VDWAALS,-14.96,1.76,1.76,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep2,EEL,2.94,2.74,2.74,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep2,EGB,-69.26,2.76,2.76,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep2,ESURF,6.3,0.12,0.12,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep2,GGAS,90.26,7.99,7.34,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep2,GSOLV,-62.96,2.76,2.72,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep3,VDWAALS,-14.55,1.72,1.72,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep3,EEL,3.57,3.55,3.55,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep3,EGB,-70.87,2.9,2.9,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep3,ESURF,6.29,0.08,0.08,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep3,GGAS,92.78,8.33,7.72,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs3523,rep3,GSOLV,-64.57,2.91,2.87,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat


