time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
1140.0,3.47484,2.73944,3.10301,2.64874
1150.0,3.48357,2.74728,3.10351,2.66293
1160.0,3.49708,2.75646,3.11714,2.67291
1170.0,3.48066,2.73731,3.10999,2.65801
1180.0,3.49389,2.74875,3.1274,2.66051
1190.0,3.45505,2.7272,3.08861,2.62633
1200.0,3.4502,2.72732,3.07908,2.62463
1210.0,3.46334,2.73294,3.09486,2.63484
1220.0,3.45356,2.72336,3.09316,2.62104
1230.0,3.4854,2.75816,3.10894,2.65009
1240.0,3.45827,2.73359,3.08843,2.62837
1250.0,3.47193,2.7403,3.10365,2.63945
1260.0,3.44346,2.72945,3.06408,2.62229
1270.0,3.44426,2.72869,3.06326,2.62614
1280.0,3.42957,2.71854,3.05727,2.60511
1290.0,3.41942,2.71099,3.05491,2.589
1300.0,3.44745,2.73213,3.07503,2.61714
1310.0,3.43996,2.73391,3.06119,2.6118
1320.0,3.4112,2.70779,3.02389,2.60702
1330.0,3.42012,2.71737,3.0343,2.60831
1340.0,3.39416,2.70172,3.00194,2.59419
1350.0,3.33124,2.64964,2.94007,2.55534
1360.0,3.35073,2.67031,2.95451,2.56809
1370.0,3.33291,2.66031,2.93193,2.55795
1380.0,3.31493,2.6472,2.89847,2.56294
1390.0,3.27619,2.6202,2.85194,2.54319
1400.0,3.26212,2.60468,2.84648,2.52905
1410.0,3.24354,2.59771,2.82394,2.51363
1420.0,3.23542,2.58222,2.82416,2.50842
1430.0,3.20474,2.56143,2.79321,2.48553
1440.0,3.16045,2.52722,2.75207,2.45279
1450.0,3.18259,2.54873,2.76576,2.4723
1460.0,3.16116,2.52954,2.75167,2.45269
1470.0,3.14768,2.52782,2.73068,2.44321
1480.0,3.17427,2.5452,2.75935,2.46169
1490.0,3.18224,2.54382,2.78275,2.45735
1500.0,3.19199,2.55186,2.79051,2.4655
1510.0,3.22137,2.56662,2.8309,2.48052
1520.0,3.28845,2.61691,2.90771,2.51492
1530.0,3.30071,2.62153,2.92529,2.52184
1540.0,3.34092,2.65114,2.96765,2.54715
1550.0,3.30462,2.61504,2.93511,2.5274
1560.0,3.30237,2.61941,2.92623,2.52728
1570.0,3.29777,2.62496,2.91262,2.52523
1580.0,3.35445,2.66909,2.96479,2.56723
1590.0,3.34509,2.65793,2.95945,2.56054
1600.0,3.35814,2.67503,2.96616,2.5691
1610.0,3.36065,2.68337,2.96714,2.56584
1620.0,3.38507,2.6884,2.9995,2.58707
1630.0,3.41286,2.70776,3.03563,2.59773
1640.0,3.39407,2.69401,3.02127,2.57946
1650.0,3.3979,2.70041,3.02963,2.57304
1660.0,3.41499,2.71591,3.03786,2.5922
1670.0,3.41018,2.70623,3.03067,2.59808
1680.0,3.44848,2.72174,3.08976,2.61335
1690.0,3.44286,2.71626,3.08981,2.60414
1700.0,3.45842,2.71671,3.11876,2.61038
1710.0,3.46892,2.7161,3.13469,2.6198
1720.0,3.48269,2.72692,3.14786,2.62927
1730.0,3.4382,2.69435,3.10461,2.59698
1740.0,3.44276,2.70162,3.10006,2.60693
1750.0,3.4008,2.6667,3.06417,2.57497
1760.0,3.3791,2.65525,3.03061,2.56939
1770.0,3.40545,2.67203,3.05609,2.59127
1780.0,3.42819,2.68236,3.08365,2.60786
1790.0,3.42963,2.68373,3.09143,2.60103
1800.0,3.40894,2.67528,3.06235,2.5897
1810.0,3.43628,2.69307,3.09666,2.6027
1820.0,3.41746,2.67605,3.08031,2.59008
1830.0,3.42414,2.68342,3.08828,2.59061
1840.0,3.40992,2.66554,3.08114,2.58003
1850.0,3.40831,2.65811,3.08451,2.57942
1860.0,3.39396,2.64879,3.06592,2.57333
1870.0,3.36224,2.63373,3.02282,2.55644
1880.0,3.35536,2.62808,3.02394,2.54281
1890.0,3.3668,2.63462,3.04055,2.54647
1900.0,3.37697,2.64183,3.04531,2.5602
1910.0,3.39212,2.65338,3.06077,2.56986
1920.0,3.42645,2.67498,3.09713,2.59489
1930.0,3.40345,2.65526,3.07966,2.57532
1940.0,3.4127,2.65809,3.09255,2.58143
1950.0,3.40473,2.66341,3.07684,2.57365
1960.0,3.41195,2.67448,3.07868,2.57908
1970.0,3.43417,2.69043,3.10072,2.59502
1980.0,3.42458,2.67566,3.10309,2.5821
1990.0,3.47567,2.7145,3.1511,2.61967
2000.0,3.47798,2.71461,3.15998,2.61497
2010.0,3.4588,2.69655,3.14242,2.60392
2020.0,3.47259,2.71175,3.15861,2.60525
2030.0,3.49301,2.72463,3.17834,2.62238
2040.0,3.47146,2.71631,3.14773,2.61065
2050.0,3.49577,2.73399,3.1746,2.62451
2060.0,3.57808,2.79968,3.25925,2.67291
2070.0,3.5872,2.80995,3.26686,2.67726
2080.0,3.54932,2.78057,3.22993,2.65167
2090.0,3.54051,2.7699,3.22134,2.64972
2100.0,3.5852,2.79674,3.27019,2.6817
2110.0,3.60161,2.80417,3.29845,2.68329
2120.0,3.66259,2.84939,3.35961,2.72453
2130.0,3.63888,2.84039,3.33614,2.69912
2140.0,3.6348,2.82358,3.33922,2.70195
2150.0,3.66632,2.84967,3.36918,2.72245
2160.0,3.6776,2.85504,3.37954,2.73441
2170.0,3.64505,2.83368,3.3436,2.71356
2180.0,3.63545,2.83139,3.3318,2.70468
2190.0,3.67209,2.8533,3.37284,2.72967
2200.0,3.76239,2.93485,3.45194,2.7896
2210.0,3.74964,2.92457,3.4467,2.7725
2220.0,3.73488,2.91918,3.44047,2.74594
2230.0,3.74138,2.9213,3.44675,2.75349
2240.0,3.7669,2.93877,3.47187,2.77287
2250.0,3.76706,2.93867,3.47294,2.77207
2260.0,3.76606,2.93196,3.47803,2.77009
2270.0,3.75067,2.91693,3.46183,2.76447
2280.0,3.69972,2.87682,3.41474,2.7275
2290.0,3.70027,2.88207,3.4111,2.72802
