time_ps,rmsd_nm
0.0,0.0004847
0.01,0.0569047
0.02,0.0413859
0.03,0.0536846
0.04,0.1140695
0.05,0.1219957
0.06,0.1190798
0.07,0.1052225
0.08,0.1342764
0.09,0.1514538
0.1,0.1148357
0.11,0.0991311
0.12,0.077104
0.13,0.0695433
0.14,0.085801
0.15,0.0889872
0.16,0.1096563
0.17,0.1373131
0.18,0.1156245
0.19,0.1152695
0.2,0.1386376
0.21,0.121225
0.22,0.1381247
0.23,0.1310328
0.24,0.1221949
0.25,0.1208599
0.26,0.1467188
0.27,0.1278189
0.28,0.1547117
0.29,0.1469203
0.3,0.1042799
0.31,0.0882341
0.32,0.1166712
0.33,0.0946605
0.34,0.1065794
0.35,0.0572119
0.36,0.1098198
0.37,0.0897015
0.38,0.0811558
0.39,0.0843761
0.4,0.0450039
0.41,0.0480453
0.42,0.0498672
0.43,0.06593
0.44,0.0671979
0.45,0.0635902
0.46,0.0976451
0.47,0.0723519
0.48,0.0906847
0.49,0.0788462
0.5,0.1006142
0.5100001,0.1050375
0.52,0.1097758
0.53,0.0696892
0.54,0.0761281
0.55,0.0904286
0.56,0.1182044
0.5700001,0.1117302
0.58,0.1051183
0.59,0.1663117
0.6,0.1596444
0.61,0.1361957
0.62,0.1377989
0.6300001,0.1315304
0.64,0.1099671
0.65,0.1080439
0.66,0.0871285
0.67,0.1007168
0.68,0.1103812
0.6900001,0.111837
0.7,0.0971823
0.71,0.1123931
0.72,0.1071801
0.73,0.1584921
0.74,0.1746574
0.7500001,0.1255938
0.7600001,0.1179011
0.77,0.1109352
0.78,0.1201286
0.79,0.1343473
0.8,0.1533813
0.8100001,0.1302794
0.8200001,0.132112
0.83,0.1350614
0.84,0.1456606
0.85,0.1561218
0.86,0.1654435
0.8700001,0.1866599
0.8800001,0.164744
0.89,0.1382122
0.9,0.1659247
0.91,0.154024
0.92,0.1668749
0.9300001,0.1608233
0.9400001,0.1517516
0.95,0.1428585
0.96,0.1256121
0.97,0.1486893
0.98,0.1468652
0.9900001,0.1311072
1.0,0.1281483
1.01,0.1212592
1.0200001,0.1024842
1.0300001,0.1092536
1.0400001,0.1016362
1.0500001,0.0947991
1.0600001,0.1173415
1.0700001,0.1097394
1.08,0.1401713
1.09,0.1086936
1.1,0.1008058
1.11,0.0980369
1.12,0.0955748
1.13,0.1360009
1.1400001,0.1471885
1.1500001,0.1393143
1.1600001,0.1371128
