metric,system,replicate_mean_mean,replicate_mean_sd,n_reps
contacts_prot_lig,drugs2263,24.941772489417726,1.628848745941261,3
contacts_prot_lig,drugs3003,19.164683531646837,2.7459160864033585,3
contacts_prot_lig,drugs3523,27.693197346931974,4.485587474693785,3
gyrate_protein,drugs2263,3.6132219168083193,1.0346527940696393,3
gyrate_protein,drugs3003,2.793338618804786,0.7906917804949369,3
gyrate_protein,drugs3523,3.0098915298470152,0.41664687775132025,3
hbond_prot_lig,drugs2263,1.0147985201479852,0.22330480624933005,3
hbond_prot_lig,drugs3003,0.9978002199780022,0.27346950860693175,3
hbond_prot_lig,drugs3523,0.8240509282405093,0.32812806745373496,3
mindist_prot_lig,drugs2263,0.20742543363330335,0.00932628930162622,3
mindist_prot_lig,drugs3003,0.23360706653001367,0.018029474482628163,3
mindist_prot_lig,drugs3523,0.22887904271239543,0.0124395864577301,3
rmsd_backbone,drugs2263,1.7807839254774522,0.20422146756626075,3
rmsd_backbone,drugs3003,1.7091915668933109,0.8257412106971876,3
rmsd_backbone,drugs3523,1.5828818568243175,0.07169554794941936,3
rmsd_ligand_heavy,drugs2263,2.412100200556611,0.05610174350145427,3
rmsd_ligand_heavy,drugs3003,0.818137891794154,0.0278690189129334,3
rmsd_ligand_heavy,drugs3523,1.773277189354398,0.06957510484302484,3
rmsf_backbone_residue,drugs2263,0.8390585635359116,0.2131319514194227,3
rmsf_backbone_residue,drugs3003,0.6810780847145488,0.2048510110194937,3
rmsf_backbone_residue,drugs3523,0.6764576427255985,0.031564464285243274,3
