time_ps,rmsd_nm
0.0,0.0005004
0.01,0.1225061
0.02,0.2064732
0.03,0.2860892
0.04,0.3088257
0.05,0.3187047
0.06,0.3543641
0.07,0.3745729
0.08,0.3999965
0.09,0.4358397
0.1,0.3999739
0.11,0.3914382
0.12,0.4309089
0.13,0.4210043
0.14,0.4388252
0.15,0.455967
0.16,0.4488277
0.17,0.4606474
0.18,0.4673021
0.19,0.4912921
0.2,0.4947253
0.21,0.5124383
0.22,0.4950876
0.23,0.5146297
0.24,0.5318562
0.25,0.5319838
0.26,0.5538797
0.27,0.5778138
0.28,0.577507
0.29,0.627265
0.3,0.5808305
0.31,0.5739426
0.32,0.5938638
0.33,0.6089264
0.34,0.6101066
0.35,0.6578712
0.36,0.6835903
0.37,0.6958733
0.38,0.6769964
0.39,0.6358195
0.4,0.658638
0.41,0.7069604
0.42,0.6988203
0.43,0.6887788
0.44,0.6503052
0.45,0.6584111
0.46,0.6530035
0.47,0.683051
0.48,0.7023474
0.49,0.7416247
0.5,0.7694208
0.5100001,0.7769089
0.52,0.8274463
0.53,0.8549262
0.54,0.8714428
0.55,0.8690549
0.56,0.848842
0.5700001,0.8414944
0.58,0.8211412
0.59,0.7922623
0.6,0.8070908
0.61,0.8353678
0.62,0.8163164
0.6300001,0.8263277
0.64,0.7839494
0.65,0.7897816
0.66,0.8008345
0.67,0.8202454
0.68,0.8443035
0.6900001,0.9079683
0.7,0.9397429
0.71,0.9660247
0.72,0.9634516
0.73,0.9306749
0.74,0.9340138
0.7500001,0.9128138
0.7600001,0.9406801
0.77,0.9102378
0.78,0.8908051
0.79,0.898806
0.8,0.9164569
0.8100001,0.8906523
0.8200001,0.9096837
0.83,0.8613226
0.84,0.8409175
0.85,0.8286086
0.86,0.8289967
0.8700001,0.8400148
0.8800001,0.851727
0.89,0.8804926
0.9,0.8685818
0.91,0.8134437
0.92,0.8288168
0.9300001,0.8078777
0.9400001,0.7806225
0.95,0.7982515
0.96,0.8043114
0.97,0.8099732
0.98,0.8166773
0.9900001,0.8016955
1.0,0.8503003
1.01,0.8373827
1.0200001,0.8210033
1.0300001,0.8023353
1.0400001,0.8096222
1.0500001,0.7841922
1.0600001,0.7850345
1.0700001,0.7995344
1.08,0.7998772
1.09,0.7926831
1.1,0.803353
1.11,0.8089029
1.12,0.7835164
1.13,0.7751468
1.1400001,0.7522318
1.1500001,0.7375188
1.1600001,0.715808
1.1700001,0.6928383
1.1800001,0.7209902
1.1900001,0.6725836
1.2,0.6846187
1.21,0.7206528
1.22,0.7244091
1.23,0.7099761
1.24,0.6954842
1.25,0.6690887
1.2600001,0.6909372
1.2700001,0.6901036
1.2800001,0.6845626
1.2900001,0.6797441
1.3000001,0.7008693
1.3100001,0.7042559
1.3200001,0.730137
1.33,0.7280535
1.34,0.7201884
1.35,0.7196067
1.36,0.7007861
1.3700001,0.6946387
1.3800001,0.7107552
1.3900001,0.7376856
1.4000001,0.7386985
1.4100001,0.7475997
1.4200001,0.7736231
1.4300001,0.7661275
1.4400001,0.7441844
1.45,0.72336
1.46,0.7065293
1.47,0.7098106
1.48,0.71877
1.4900001,0.772836
1.5000001,0.7772956
1.5100001,0.7929118
1.5200001,0.7809286
1.5300001,0.7707355
1.5400001,0.7797685
1.5500001,0.7822812
1.5600001,0.7635022
