time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
0.0,3.66861,2.91324,3.15305,2.91353
10.0,3.6088,2.87229,3.10173,2.85938
20.0,3.57153,2.85556,3.06132,2.8259
30.0,3.60144,2.89718,3.05776,2.86308
40.0,3.619,2.90596,3.0818,2.87267
50.0,3.63756,2.91867,3.1012,2.88574
60.0,3.63526,2.92048,3.08568,2.89476
70.0,3.61442,2.90904,3.05766,2.8838
80.0,3.61492,2.90931,3.04986,2.89301
90.0,3.59706,2.89764,3.03189,2.87908
100.0,3.64054,2.91976,3.09027,2.90384
110.0,3.62442,2.89945,3.08139,2.89328
120.0,3.62183,2.90579,3.07077,2.89174
130.0,3.65507,2.91959,3.11939,2.90936
140.0,3.66191,2.9178,3.13845,2.90789
150.0,3.6817,2.92803,3.16952,2.91386
160.0,3.65477,2.91272,3.13671,2.89686
170.0,3.65827,2.91243,3.13289,2.91009
180.0,3.66931,2.9225,3.1329,2.92772
190.0,3.67025,2.91851,3.13185,2.93519
200.0,3.66179,2.90817,3.12828,2.92811
210.0,3.69147,2.92209,3.15886,2.95582
220.0,3.70478,2.93272,3.17512,2.96117
230.0,3.70467,2.94031,3.16542,2.96375
240.0,3.65189,2.91239,3.11002,2.91864
250.0,3.65337,2.92054,3.10324,2.9214
260.0,3.67127,2.93578,3.13426,2.91788
270.0,3.65084,2.91336,3.13733,2.88563
280.0,3.65293,2.9034,3.13788,2.90031
290.0,3.67883,2.91885,3.16421,2.92158
300.0,3.69916,2.94102,3.17793,2.93579
310.0,3.69138,2.92407,3.18204,2.92866
320.0,3.72936,2.94944,3.22368,2.95381
330.0,3.70891,2.93395,3.2088,2.93385
340.0,3.67818,2.91211,3.17221,2.918
350.0,3.69863,2.9384,3.17244,2.94298
360.0,3.6677,2.91396,3.14824,2.91574
370.0,3.68084,2.93103,3.1652,2.91337
380.0,3.70766,2.95421,3.18622,2.93498
390.0,3.70849,2.939,3.19668,2.94097
400.0,3.67368,2.91858,3.16237,2.91086
410.0,3.64142,2.91455,3.12747,2.87127
420.0,3.61745,2.90288,3.10431,2.84753
430.0,3.57398,2.87331,3.05472,2.82126
440.0,3.58337,2.88107,3.06167,2.8296
450.0,3.5447,2.85481,3.03045,2.79216
460.0,3.56297,2.86351,3.0482,2.8104
470.0,3.56182,2.86417,3.03716,2.81874
480.0,3.55367,2.85385,3.03969,2.80588
490.0,3.57332,2.87034,3.06306,2.81353
500.0,3.55997,2.85726,3.05217,2.80484
510.0,3.54414,2.84231,3.0382,2.79508
520.0,3.51631,2.81587,3.01898,2.77227
530.0,3.49505,2.79914,3.00109,2.75481
540.0,3.45776,2.77209,2.9607,2.73165
550.0,3.49523,2.7964,3.00964,2.74872
560.0,3.53699,2.8273,3.05652,2.7721
570.0,3.58696,2.86507,3.09422,2.81952
580.0,3.59067,2.87025,3.09149,2.82668
590.0,3.56399,2.84715,3.06853,2.80749
600.0,3.56546,2.85335,3.07644,2.79624
610.0,3.58675,2.86679,3.10508,2.80526
620.0,3.57514,2.8649,3.08174,2.80331
630.0,3.58597,2.85946,3.10405,2.81189
640.0,3.57559,2.85088,3.09446,2.80473
650.0,3.64391,2.8903,3.17493,2.84994
660.0,3.6594,2.90213,3.19954,2.8501
670.0,3.65627,2.90077,3.19105,2.85296
680.0,3.73155,2.95876,3.25743,2.9127
690.0,3.7501,2.97154,3.27775,2.92451
700.0,3.75509,2.97804,3.28797,2.91924
710.0,3.74361,2.97111,3.27683,2.90931
720.0,3.74294,2.96837,3.2631,2.92578
730.0,3.77404,2.99218,3.29646,2.94396
740.0,3.78938,3.00453,3.30845,2.95731
