GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
53,559.17,1428.35,2336.48,-1246.86,-12817.82,631.85,7954.9,-2408.48,87.21,-1153.92,-2321.27,-3475.19
54,545.19,1352.18,2286.34,-1236.31,-12480.13,649.67,7883.36,-2609.11,90.54,-999.69,-2518.57,-3518.26
55,570.08,1405.83,2333.0,-1205.28,-12650.35,637.58,7973.82,-2555.04,91.97,-935.33,-2463.07,-3398.4
56,564.82,1379.15,2273.72,-1230.27,-12648.73,637.63,7933.07,-2458.22,87.68,-1090.61,-2370.54,-3461.15
57,591.54,1377.22,2304.86,-1217.4,-12506.37,624.97,7855.46,-2571.19,89.27,-969.72,-2481.92,-3451.65
58,567.91,1388.89,2299.78,-1222.78,-12536.89,645.89,7948.87,-2610.28,89.88,-908.33,-2520.39,-3428.72
59,553.24,1408.19,2301.24,-1198.86,-12610.8,634.85,7965.34,-2558.56,91.98,-946.8,-2466.58,-3413.38
60,575.88,1440.07,2294.61,-1207.68,-12645.68,623.58,7841.0,-2447.67,91.36,-1078.22,-2356.3,-3434.53
61,557.26,1378.88,2285.33,-1184.11,-12653.49,650.23,7927.74,-2480.66,91.85,-1038.16,-2388.81,-3426.96
62,559.75,1369.64,2329.75,-1173.22,-12660.36,629.35,7888.43,-2511.85,92.8,-1056.65,-2419.05,-3475.7
63,555.8,1361.39,2290.74,-1188.87,-12625.14,637.88,7820.6,-2486.5,91.13,-1147.6,-2395.38,-3542.97
64,512.06,1432.33,2298.45,-1195.89,-12657.06,649.15,7870.78,-2471.62,89.97,-1090.18,-2381.65,-3471.84
65,588.11,1387.74,2315.99,-1208.57,-12604.24,643.46,7896.89,-2560.5,89.38,-980.62,-2471.12,-3451.74
66,562.69,1341.45,2290.18,-1196.36,-12690.7,656.5,7971.85,-2501.7,91.61,-1064.38,-2410.09,-3474.47
67,562.58,1352.57,2308.76,-1199.48,-12650.54,642.37,7894.39,-2486.53,90.7,-1089.35,-2395.83,-3485.19
68,538.24,1413.99,2322.51,-1196.94,-12819.66,636.34,7905.17,-2307.06,88.4,-1200.36,-2218.66,-3419.02
69,565.43,1374.68,2307.93,-1210.1,-12591.48,643.34,7870.59,-2502.17,89.52,-1039.62,-2412.65,-3452.27
70,569.8,1385.26,2304.28,-1187.51,-12732.0,660.75,7908.75,-2422.3,91.89,-1090.68,-2330.41,-3421.09
71,556.2,1408.73,2296.48,-1172.04,-12840.81,664.96,7967.99,-2396.55,93.83,-1118.48,-2302.72,-3421.2
72,536.36,1394.87,2281.54,-1231.47,-12623.22,650.89,7976.95,-2542.43,90.34,-1014.08,-2452.09,-3466.16
73,555.62,1454.46,2287.94,-1229.01,-12729.07,657.46,7927.52,-2439.34,88.76,-1075.09,-2350.58,-3425.67
74,553.02,1370.62,2336.48,-1213.39,-12753.29,648.71,7954.36,-2466.37,89.21,-1103.49,-2377.16,-3480.65
75,550.21,1429.3,2274.09,-1181.36,-12687.35,657.32,7948.97,-2507.77,90.93,-1008.81,-2416.84,-3425.65
76,543.84,1394.76,2317.61,-1195.54,-12786.97,653.23,7927.33,-2408.73,91.25,-1145.75,-2317.48,-3463.23
77,576.91,1414.51,2303.76,-1223.19,-12737.75,629.08,7903.25,-2437.44,90.03,-1133.43,-2347.41,-3480.84
78,573.69,1397.14,2324.33,-1208.38,-12767.75,632.91,7916.45,-2423.89,86.19,-1131.61,-2337.7,-3469.3
79,576.32,1420.08,2346.54,-1180.11,-12869.65,623.77,7995.53,-2380.85,86.84,-1087.52,-2294.01,-3381.53
80,576.86,1378.36,2302.04,-1224.93,-12744.38,631.04,7983.13,-2465.38,89.14,-1097.88,-2376.24,-3474.12
81,587.26,1429.69,2319.3,-1199.6,-12710.34,616.0,7890.53,-2427.32,87.6,-1067.16,-2339.72,-3406.88
82,535.39,1391.42,2305.12,-1218.66,-12505.2,664.91,7878.54,-2568.93,87.54,-948.48,-2481.39,-3429.86
83,527.59,1465.62,2277.19,-1202.45,-12699.8,652.14,7906.17,-2417.55,87.06,-1073.53,-2330.49,-3404.02
84,553.58,1385.02,2289.09,-1211.92,-12692.56,663.53,7963.03,-2439.86,88.92,-1050.24,-2350.94,-3401.18
85,575.4,1373.0,2295.65,-1225.47,-12687.86,626.48,7941.75,-2482.45,88.87,-1101.05,-2393.58,-3494.63
86,552.62,1389.67,2296.13,-1190.63,-12738.07,633.29,7941.96,-2427.11,90.38,-1115.03,-2336.73,-3451.77
87,577.73,1405.58,2294.49,-1218.93,-12640.9,648.83,7977.89,-2515.95,89.83,-955.31,-2426.12,-3381.43
88,549.97,1382.63,2303.97,-1209.67,-12652.88,632.82,7892.82,-2433.25,89.37,-1100.36,-2343.88,-3444.24
89,550.06,1407.15,2257.3,-1213.88,-12633.16,625.75,7845.65,-2415.11,87.16,-1161.13,-2327.95,-3489.08
90,526.63,1382.32,2305.78,-1225.56,-12812.72,653.19,7939.43,-2351.85,86.6,-1230.94,-2265.25,-3496.19
91,554.7,1401.88,2326.02,-1213.99,-12710.57,639.99,7896.97,-2407.24,87.76,-1105.0,-2319.48,-3424.48
92,575.73,1381.71,2335.64,-1201.85,-12788.32,648.58,7838.64,-2312.6,86.72,-1209.87,-2225.88,-3435.75
93,563.05,1398.47,2319.1,-1248.7,-12914.09,638.31,7913.81,-2209.19,83.65,-1330.06,-2125.54,-3455.59
94,578.25,1373.58,2281.31,-1227.2,-12824.14,632.08,7859.39,-2239.84,84.92,-1326.73,-2154.92,-3481.65
95,627.7,1411.14,2296.07,-1197.0,-12864.31,624.6,7849.2,-2238.64,87.05,-1252.6,-2151.59,-3404.19
96,550.16,1420.33,2301.15,-1204.1,-12931.04,647.57,7914.27,-2209.34,85.05,-1301.66,-2124.3,-3425.96
97,579.32,1393.11,2318.1,-1226.03,-12822.4,630.1,7871.97,-2269.88,84.97,-1255.83,-2184.92,-3440.75
98,618.92,1422.2,2295.34,-1192.17,-12809.24,627.34,7825.92,-2260.95,85.23,-1211.69,-2175.73,-3387.42
99,551.67,1409.01,2302.18,-1175.96,-12941.59,634.29,7946.53,-2237.25,86.28,-1273.87,-2150.97,-3424.84
100,532.13,1408.84,2284.2,-1202.24,-12878.24,636.28,7874.09,-2268.14,87.27,-1344.94,-2180.87,-3525.81
101,561.14,1424.08,2326.99,-1192.35,-12795.44,651.64,7884.87,-2325.0,88.25,-1139.07,-2236.75,-3375.82

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,11.75,47.49,30.22,-14.27,40.02,23.12,59.87,-153.59,4.5,198.22,-149.09,49.13
2,20.31,53.78,29.54,-14.29,39.05,22.51,60.45,-154.04,4.38,211.36,-149.66,61.7
3,11.52,53.58,32.33,-14.46,40.56,21.0,60.71,-155.7,4.4,205.24,-151.3,53.94
4,23.21,52.38,33.26,-15.52,40.99,22.86,60.85,-155.24,4.34,218.03,-150.9,67.13
5,15.88,39.88,31.42,-16.66,41.36,20.33,61.12,-154.79,4.42,193.33,-150.37,42.96
6,23.97,48.53,27.52,-14.38,39.08,20.17,60.6,-155.49,4.42,205.51,-151.07,54.43
7,16.87,46.11,31.48,-15.99,40.33,21.81,61.04,-155.09,4.4,201.65,-150.69,50.96
8,23.74,47.42,41.3,-17.53,40.14,21.05,60.47,-155.78,4.43,216.59,-151.35,65.24
9,11.59,53.68,34.15,-13.67,42.06,21.69,59.9,-155.84,4.42,209.4,-151.42,57.97
10,20.23,49.2,34.08,-16.0,40.39,21.02,60.14,-154.12,4.4,209.07,-149.71,59.35
11,17.86,55.56,34.05,-12.96,43.34,21.64,59.95,-157.41,4.39,219.44,-153.02,66.43
12,16.82,51.12,28.35,-15.51,42.25,21.21,60.58,-155.89,4.44,204.83,-151.45,53.38
13,13.61,48.51,39.5,-15.05,39.37,24.24,60.7,-153.57,4.48,210.87,-149.1,61.77
14,14.24,52.83,36.72,-14.8,39.42,25.08,61.29,-153.74,4.42,214.78,-149.33,65.45
15,20.28,45.5,33.81,-14.4,41.06,20.72,59.82,-156.3,4.44,206.79,-151.87,54.93
16,18.61,40.28,32.48,-14.58,39.08,21.81,60.72,-154.02,4.41,198.39,-149.6,48.78
17,20.36,43.28,36.57,-16.25,39.09,21.68,61.05,-152.24,4.41,205.77,-147.82,57.95
18,20.4,51.39,35.19,-17.13,41.28,19.94,60.95,-154.6,4.41,212.04,-150.19,61.85
19,18.57,52.58,37.34,-15.92,38.34,21.99,60.07,-153.33,4.39,212.96,-148.93,64.03
20,15.69,50.91,31.4,-16.35,39.16,22.76,61.26,-153.0,4.38,204.83,-148.61,56.21
