GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
40,0.0,-0.0,0.0,-35.55,-312.39,0.0,0.0,326.31,-4.66,-347.95,321.64,-26.31
41,-0.0,0.0,-0.0,-41.07,-305.61,0.0,0.0,321.4,-5.03,-346.68,316.36,-30.31
42,0.0,0.0,-0.0,-36.7,-289.14,-0.0,-0.0,305.53,-4.92,-325.84,300.61,-25.22
43,-0.0,-0.0,-0.0,-34.71,-244.13,0.0,-0.0,265.64,-4.01,-278.84,261.63,-17.21
44,-0.0,-0.0,0.0,-36.38,-253.24,0.0,-0.0,274.22,-4.31,-289.62,269.92,-19.7
45,-0.0,0.0,0.0,-39.09,-274.23,-0.0,0.0,292.42,-4.76,-313.32,287.66,-25.67
46,0.0,-0.0,0.0,-35.56,-285.28,-0.0,-0.0,303.18,-4.87,-320.84,298.31,-22.52
47,0.0,0.0,-0.0,-39.59,-302.18,0.0,0.0,321.02,-4.93,-341.77,316.1,-25.68
48,-0.0,0.0,0.0,-32.94,-309.43,-0.0,-0.0,322.13,-4.75,-342.37,317.38,-24.99
49,-0.0,0.0,-0.0,-35.23,-308.86,0.0,-0.0,321.96,-4.88,-344.09,317.08,-27.02
50,-0.0,0.0,0.0,-31.34,-296.28,-0.0,-0.0,311.2,-4.63,-327.62,306.57,-21.05
51,0.0,-0.0,0.0,-31.62,-310.65,-0.0,-0.0,320.74,-4.64,-342.27,316.11,-26.17
52,-0.0,-0.0,0.0,-34.92,-305.23,0.0,0.0,322.47,-4.94,-340.15,317.54,-22.61
53,-0.0,-0.0,-0.0,-35.97,-307.94,0.0,-0.0,321.03,-4.49,-343.91,316.54,-27.37
54,0.0,-0.0,-0.0,-37.61,-285.67,-0.0,0.0,301.59,-4.64,-323.28,296.95,-26.33
55,-0.0,-0.0,-0.0,-32.3,-300.25,0.0,-0.0,311.58,-4.46,-332.55,307.12,-25.43
56,-0.0,0.0,-0.0,-34.86,-282.7,0.0,-0.0,297.23,-4.66,-317.56,292.57,-24.99
57,-0.0,0.0,-0.0,-37.27,-272.92,0.0,-0.0,291.17,-4.58,-310.2,286.6,-23.6
58,-0.0,-0.0,-0.0,-30.93,-278.23,-0.0,-0.0,291.41,-4.5,-309.16,286.91,-22.25
59,-0.0,0.0,-0.0,-36.29,-279.31,0.0,-0.0,295.23,-4.75,-315.6,290.47,-25.13
60,-0.0,-0.0,-0.0,-29.53,-230.76,-0.0,-0.0,250.28,-3.75,-260.29,246.53,-13.76
61,-0.0,-0.0,0.0,-24.89,-237.32,0.0,0.0,252.91,-3.3,-262.2,249.61,-12.59
62,0.0,0.0,0.0,-27.21,-213.06,0.0,0.0,230.06,-3.77,-240.27,226.29,-13.97
63,-0.0,0.0,-0.0,-28.62,-242.06,0.0,0.0,259.63,-3.77,-270.68,255.85,-14.82
64,-0.0,-0.0,-0.0,-34.23,-224.88,-0.0,-0.0,246.0,-4.6,-259.11,241.4,-17.71
65,-0.0,-0.0,0.0,-34.58,-238.86,0.0,-0.0,256.84,-3.98,-273.45,252.86,-20.59
66,0.0,0.0,-0.0,-28.63,-212.7,-0.0,-0.0,230.14,-3.51,-241.34,226.63,-14.71
67,0.0,-0.0,-0.0,-28.44,-239.19,0.0,0.0,257.12,-4.08,-267.63,253.04,-14.59
68,-0.0,0.0,-0.0,-30.52,-226.77,0.0,0.0,241.61,-3.8,-257.29,237.81,-19.49
69,0.0,-0.0,0.0,-31.41,-225.85,0.0,-0.0,245.91,-3.84,-257.26,242.07,-15.2
70,-0.0,0.0,-0.0,-29.67,-216.2,0.0,-0.0,233.27,-3.53,-245.87,229.74,-16.13
71,0.0,0.0,-0.0,-32.09,-225.13,0.0,-0.0,241.71,-3.55,-257.21,238.16,-19.05
72,-0.0,-0.0,0.0,-29.77,-223.15,0.0,-0.0,243.36,-3.22,-252.92,240.13,-12.79
73,0.0,0.0,-0.0,-34.0,-227.28,0.0,0.0,244.9,-3.88,-261.28,241.01,-20.26
74,-0.0,-0.0,0.0,-29.89,-204.29,0.0,0.0,219.89,-3.12,-234.18,216.77,-17.41
75,-0.0,-0.0,0.0,-28.21,-199.47,-0.0,-0.0,215.12,-3.4,-227.68,211.71,-15.97
76,0.0,0.0,0.0,-33.58,-199.38,0.0,-0.0,217.81,-3.6,-232.96,214.21,-18.75
77,0.0,-0.0,-0.0,-29.59,-200.37,0.0,0.0,217.44,-3.41,-229.97,214.03,-15.94
78,0.0,-0.0,0.0,-24.73,-204.52,0.0,-0.0,221.25,-3.29,-229.26,217.96,-11.29
79,-0.0,0.0,0.0,-27.18,-205.46,-0.0,0.0,219.32,-3.16,-232.64,216.16,-16.48
80,0.0,0.0,-0.0,-30.92,-221.26,-0.0,0.0,239.1,-3.68,-252.18,235.42,-16.76
81,0.0,0.0,0.0,-33.34,-237.02,0.0,-0.0,254.16,-3.95,-270.35,250.22,-20.14
82,-0.0,-0.0,0.0,-22.06,-206.16,0.0,0.0,218.2,-2.36,-228.22,215.85,-12.37
83,-0.0,0.0,0.0,-28.79,-238.42,0.0,-0.0,253.03,-2.99,-267.21,250.05,-17.17
84,0.0,-0.0,0.0,-28.41,-242.02,0.0,-0.0,258.44,-3.25,-270.43,255.19,-15.24
85,-0.0,-0.0,-0.0,-29.96,-261.27,-0.0,-0.0,278.47,-3.56,-291.23,274.91,-16.32
86,-0.0,-0.0,0.0,-31.76,-224.48,0.0,-0.0,241.94,-3.82,-256.24,238.12,-18.12
87,0.0,-0.0,0.0,-32.01,-243.9,0.0,-0.0,263.85,-4.08,-275.91,259.77,-16.14
88,-0.0,0.0,0.0,-33.97,-247.12,-0.0,-0.0,268.45,-4.1,-281.09,264.35,-16.74
89,0.0,-0.0,0.0,-31.27,-204.17,0.0,0.0,222.74,-3.73,-235.44,219.01,-16.43
90,0.0,-0.0,-0.0,-0.0,-13.03,0.0,-0.0,13.03,-0.0,-13.03,13.03,0.0
91,0.0,-0.0,0.0,-28.66,-211.81,-0.0,-0.0,226.95,-3.45,-240.47,223.5,-16.96
92,0.0,-0.0,-0.0,-35.33,-236.35,0.0,-0.0,254.32,-4.42,-271.69,249.9,-21.79
93,-0.0,-0.0,-0.0,-29.05,-213.4,-0.0,-0.0,229.24,-3.81,-242.45,225.43,-17.02
94,-0.0,0.0,0.0,-33.44,-220.02,0.0,-0.0,240.15,-3.9,-253.46,236.25,-17.21
95,0.0,0.0,-0.0,-33.88,-223.2,0.0,-0.0,240.95,-3.92,-257.08,237.03,-20.05
96,0.0,-0.0,0.0,-31.6,-246.16,0.0,-0.0,261.37,-3.55,-277.76,257.81,-19.94
97,0.0,0.0,0.0,-28.19,-232.18,-0.0,-0.0,247.44,-3.52,-260.38,243.92,-16.45
98,0.0,-0.0,0.0,-27.78,-217.11,0.0,-0.0,233.29,-3.31,-244.89,229.98,-14.91
99,-0.0,0.0,-0.0,-31.58,-221.86,0.0,-0.0,239.28,-3.65,-253.44,235.64,-17.8
100,0.0,-0.0,-0.0,-30.13,-211.41,-0.0,-0.0,228.09,-3.84,-241.54,224.25,-17.3
101,-0.0,0.0,0.0,-23.99,-252.54,0.0,-0.0,266.16,-3.82,-276.53,262.33,-14.2




