system,rep,metric,metric_label,mean,sd,median,min,max,n_points,x_min_used,x_max_used
drugs3003,rep3,contacts_prot_lig,Protein-ligand contacts,17.023195360927815,3.8553160528841826,17.0,3.0,29.0,5001,50.0,100.0
drugs3003,rep3,gyrate_protein,Protein radius of gyration,3.5600030473905218,0.07329805462515054,3.56843,3.31835,3.73489,5001,50.0,100.0
drugs3003,rep3,hbond_prot_lig,Protein-ligand hydrogen bonds,0.70625874825035,0.5715757344709035,1.0,0.0,3.0,5001,50.0,100.0
drugs3003,rep3,mindist_prot_lig,Protein-ligand minimum distance,0.2549804474305139,0.021774763907363447,0.2591854,0.1638685,0.3129265,5001,50.0,100.0
drugs3003,rep3,rmsd_backbone,Protein backbone RMSD,1.1628762575600002,0.13331962593339744,1.1484981,0.8072063,1.6564636,5000,50.0000038,99.9900055
drugs3003,rep3,rmsd_ligand_heavy,Ligand heavy-atom RMSD,0.99309482846,0.29853801415320536,0.96739395,0.3066229,1.9742103,5000,50.0000038,99.9900055
drugs3003,rep3,rmsf_backbone_residue,Protein backbone RMSF,0.45137127071823213,0.142026935446292,0.4502,0.2,1.0093,181,1.0,181.0
drugs3523,rep1,contacts_prot_lig,Protein-ligand contacts,21.89622075584883,5.154592875723272,21.0,8.0,40.0,5001,50.0,100.0
drugs3523,rep1,gyrate_protein,Protein radius of gyration,2.6023985102979403,0.2678496504636889,2.63121,2.09067,3.39639,5001,50.0,100.0
drugs3523,rep1,hbond_prot_lig,Protein-ligand hydrogen bonds,0.26874625074985004,0.5345661865461006,0.0,0.0,3.0,5001,50.0,100.0
drugs3523,rep1,mindist_prot_lig,Protein-ligand minimum distance,0.247669976024795,0.025075749908315785,0.2533003,0.14613,0.3021755,5001,50.0,100.0
drugs3523,rep1,rmsd_backbone,Protein backbone RMSD,1.81101518842,0.2748584147266761,1.8455669000000001,1.1673746,2.3512664,5000,50.0000038,99.9900055
drugs3523,rep1,rmsd_ligand_heavy,Ligand heavy-atom RMSD,1.8345002490400002,0.3454249744001152,1.8207646999999998,0.9854,2.9642022,5000,50.0000038,99.9900055
drugs3523,rep1,rmsf_backbone_residue,Protein backbone RMSF,0.6985751381215468,0.2534330500910507,0.6528,0.3278,1.7262,181,1.0,181.0
drugs3523,rep2,contacts_prot_lig,Protein-ligand contacts,26.312537492501498,3.535378449309781,27.0,12.0,36.0,5001,50.0,100.0
drugs3523,rep2,gyrate_protein,Protein radius of gyration,2.7140577024595083,0.08576438542483851,2.71727,2.43074,2.99457,5001,50.0,100.0
drugs3523,rep2,hbond_prot_lig,Protein-ligand hydrogen bonds,1.0819836032793442,0.8395697377413587,1.0,0.0,4.0,5001,50.0,100.0
drugs3523,rep2,mindist_prot_lig,Protein-ligand minimum distance,0.22134523069386125,0.02550550004637313,0.2244504,0.1618055,0.2927955,5001,50.0,100.0
drugs3523,rep2,rmsd_backbone,Protein backbone RMSD,1.57695983636,0.10097197446714118,1.56819205,1.3083059,1.9668835,5000,50.0000038,99.9900055
drugs3523,rep2,rmsd_ligand_heavy,Ligand heavy-atom RMSD,1.6441390474200002,0.3601463446555772,1.6625570500000002,0.6955477,2.5499055,5000,50.0000038,99.9900055
