col1,col2
0.0025,0.0
0.0075,0.0
0.0125,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.0525,0.0
0.0575,0.0
0.0625,0.0
0.0675,0.0
0.0725,0.0
0.0775,0.0
0.0825,0.0
0.0875,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.1475,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.1775,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.1975,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.2275,0.0
0.2325,0.0
0.2375,0.0
0.2425,0.0
0.2475,0.196786
0.2525,0.481032
0.2575,1.3775
0.2625,3.27976
0.2675,5.37881
0.2725,7.78397
0.2775,10.4515
0.2825,11.829
0.2875,13.2721
0.2925,13.9062
0.2975,14.6277
0.3025,15.4586
0.3075,15.3056
0.3125,14.9557
0.3175,14.431
0.3225,12.5943
0.3275,10.8014
0.3325,10.7795
0.3375,8.30873
0.3425,7.95889
0.3475,6.82191
