col1,col2
0.0025,0.0
0.0075,0.0
0.0125,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.0525,0.0
0.0575,0.0
0.0625,0.0
0.0675,0.0
0.0725,0.0
0.0775,0.0
0.0825,0.0
0.0875,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.1475,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.1775,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.1975,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.2275,0.0
0.2325,0.0
0.2375,0.0
0.2425,0.0434594
0.2475,0.0434594
0.2525,0.434594
0.2575,1.08648
0.2625,1.99913
0.2675,2.91178
0.2725,2.91178
0.2775,5.47588
0.2825,7.30117
0.2875,8.38766
0.2925,12.1686
0.2975,14.3416
0.3025,18.166
0.3075,19.0352
0.3125,19.0352
0.3175,18.2964
0.3225,15.4715
0.3275,13.8201
0.3325,11.9948
0.3375,10.8648
0.3425,9.16993
0.3475,7.04042
