time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
0.0,3.40919,2.59906,3.0076,2.72845
10.0,3.37061,2.56556,2.97893,2.69554
20.0,3.34471,2.56299,2.94267,2.67319
30.0,3.36929,2.57631,2.96752,2.69457
40.0,3.35175,2.56257,2.95866,2.67359
50.0,3.34279,2.56005,2.93809,2.67624
60.0,3.3336,2.54494,2.93267,2.67366
70.0,3.34894,2.55191,2.95112,2.68505
80.0,3.33401,2.52368,2.94706,2.679
90.0,3.3346,2.52303,2.94264,2.68596
100.0,3.31744,2.51596,2.92736,2.66672
110.0,3.33064,2.53139,2.93756,2.67379
120.0,3.32303,2.52044,2.93404,2.66906
130.0,3.30349,2.5047,2.91938,2.65138
140.0,3.33155,2.52631,2.94,2.67816
150.0,3.36976,2.54977,2.97943,2.70782
160.0,3.32837,2.54657,2.91575,2.67758
170.0,3.355,2.58723,2.9228,2.69733
180.0,3.3757,2.593,2.95139,2.71225
190.0,3.37705,2.58479,2.95914,2.71501
200.0,3.37222,2.58752,2.95353,2.70649
210.0,3.39705,2.60624,2.97919,2.72245
220.0,3.40988,2.61525,2.98883,2.7353
230.0,3.40565,2.62072,2.98252,2.72641
240.0,3.42418,2.63601,2.9962,2.74302
250.0,3.45229,2.66987,3.01448,2.76066
260.0,3.47534,2.6765,3.04544,2.77805
270.0,3.47142,2.67613,3.03898,2.77568
280.0,3.42102,2.64301,2.9885,2.7368
290.0,3.39546,2.62681,2.95678,2.72315
300.0,3.37444,2.62002,2.93054,2.70576
310.0,3.36332,2.61973,2.915,2.69512
320.0,3.38369,2.62884,2.93462,2.71586
330.0,3.42743,2.64713,2.9907,2.74644
340.0,3.45194,2.6651,3.0117,2.76742
350.0,3.49081,2.70286,3.0472,2.78939
360.0,3.48084,2.68716,3.05011,2.77642
370.0,3.50005,2.68698,3.08591,2.78533
380.0,3.48717,2.69495,3.05504,2.77932
390.0,3.51432,2.73159,3.06483,2.80109
400.0,3.52319,2.75157,3.06653,2.80197
410.0,3.5042,2.73098,3.05613,2.78578
420.0,3.49907,2.73454,3.04397,2.78273
430.0,3.51644,2.74867,3.05645,2.79886
440.0,3.52276,2.76001,3.06317,2.79624
450.0,3.53745,2.77952,3.06437,2.81265
460.0,3.54669,2.78184,3.07327,2.82388
470.0,3.54126,2.79864,3.04864,2.82035
480.0,3.57807,2.81294,3.10169,2.84113
490.0,3.5773,2.81084,3.1037,2.83908
500.0,3.55858,2.79106,3.08681,2.82993
510.0,3.5775,2.79084,3.1193,2.84221
520.0,3.59781,2.80457,3.14246,2.85444
530.0,3.55503,2.77133,3.10445,2.8211
540.0,3.53909,2.77205,3.075,2.81255
550.0,3.55047,2.79475,3.06675,2.82775
560.0,3.52846,2.77295,3.04158,2.82129
570.0,3.55088,2.78265,3.0752,2.83151
580.0,3.56419,2.7982,3.08962,2.83395
590.0,3.59475,2.81764,3.11946,2.85907
600.0,3.59006,2.81947,3.1039,2.86243
610.0,3.58779,2.81114,3.11248,2.85559
620.0,3.56602,2.80536,3.07854,2.8435
630.0,3.54428,2.7819,3.06656,2.82508
640.0,3.5513,2.78818,3.08504,2.81639
650.0,3.54519,2.78123,3.08278,2.81033
660.0,3.5827,2.80886,3.11746,2.83959
670.0,3.59559,2.83149,3.11064,2.85713
680.0,3.58633,2.83593,3.09097,2.85078
690.0,3.57296,2.82226,3.08102,2.84153
700.0,3.59958,2.83483,3.11794,2.85589
710.0,3.63093,2.85918,3.13975,2.88692
720.0,3.67725,2.89844,3.17686,2.92419
730.0,3.6612,2.89941,3.13455,2.92862
740.0,3.66721,2.90531,3.14255,2.92923
750.0,3.65974,2.89382,3.14565,2.91857
760.0,3.60301,2.85016,3.09664,2.87241
770.0,3.57674,2.83303,3.06535,2.85722
780.0,3.57074,2.81692,3.06839,2.85488
790.0,3.64576,2.87382,3.14192,2.90735
800.0,3.62424,2.86732,3.10962,2.89464
810.0,3.60468,2.8493,3.09613,2.87801
820.0,3.57564,2.84711,3.0517,2.85507
830.0,3.55423,2.83946,3.02887,2.83345
840.0,3.51764,2.80618,3.00437,2.80119
850.0,3.51258,2.80018,2.99594,2.80353
860.0,3.49177,2.79263,2.97168,2.78482
870.0,3.51845,2.81912,2.99635,2.79883
880.0,3.49223,2.80205,2.97512,2.77282
890.0,3.47722,2.79674,2.94385,2.77383
900.0,3.49235,2.80975,2.96206,2.77929
910.0,3.45248,2.7804,2.93074,2.74215
920.0,3.40203,2.74909,2.87195,2.70963
930.0,3.41921,2.75253,2.90474,2.71441
940.0,3.43385,2.75476,2.93628,2.71518
950.0,3.4693,2.77197,2.97632,2.74405
960.0,3.50233,2.7896,3.0113,2.7718
970.0,3.49591,2.77751,3.01951,2.75876
980.0,3.48707,2.76691,3.01681,2.75
990.0,3.49142,2.77615,3.01016,2.75897
1000.0,3.49457,2.77192,3.02074,2.75965
1010.0,3.50212,2.77254,3.03585,2.76159
1020.0,3.52464,2.77879,3.06666,2.77851
1030.0,3.59866,2.83724,3.13256,2.83512
1040.0,3.58893,2.83552,3.12254,2.8232
1050.0,3.51786,2.78738,3.04765,2.77362
1060.0,3.47239,2.75734,2.9954,2.74583
1070.0,3.48042,2.76852,2.98764,2.76333
1080.0,3.49589,2.78166,3.00153,2.77409
1090.0,3.50299,2.79541,2.99629,2.78386
1100.0,3.45521,2.77361,2.93418,2.7522
1110.0,3.48315,2.78354,2.97534,2.76838
1120.0,3.49146,2.78744,2.9826,2.77756
