time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
0.0,3.694,2.78977,3.26404,2.97564
10.0,3.66319,2.76442,3.24344,2.94551
20.0,3.63882,2.75114,3.2153,2.92834
30.0,3.68911,2.77734,3.27217,2.96621
40.0,3.68151,2.75858,3.2682,2.96919
50.0,3.67686,2.76079,3.26689,2.95705
60.0,3.67431,2.77016,3.25986,2.94969
70.0,3.62553,2.7465,3.19879,2.91779
80.0,3.644,2.75598,3.21571,2.9362
90.0,3.65444,2.77062,3.22859,2.93423
100.0,3.6585,2.77031,3.2303,2.94276
110.0,3.66792,2.78184,3.23248,2.95291
120.0,3.66706,2.78974,3.22976,2.94629
130.0,3.65892,2.7782,3.22093,2.94663
140.0,3.66335,2.77878,3.22193,2.95599
150.0,3.68448,2.77883,3.25379,2.97352
160.0,3.70808,2.79859,3.26846,2.99745
170.0,3.72278,2.80474,3.28487,3.01019
180.0,3.77184,2.84953,3.33127,3.03913
190.0,3.78855,2.854,3.34715,3.05901
200.0,3.77484,2.83048,3.34135,3.05329
210.0,3.78389,2.84016,3.34676,3.06078
220.0,3.82061,2.86222,3.37638,3.09869
230.0,3.8171,2.85407,3.37719,3.09666
240.0,3.77651,2.83182,3.33787,3.05999
250.0,3.77733,2.82273,3.35866,3.04764
260.0,3.80648,2.85374,3.3725,3.07588
270.0,3.79445,2.83429,3.36299,3.07455
280.0,3.73637,2.80443,3.30756,3.01928
290.0,3.75151,2.82235,3.30926,3.03822
300.0,3.72674,2.79254,3.29438,3.02092
310.0,3.74039,2.79522,3.30657,3.03882
320.0,3.73885,2.79008,3.30316,3.04344
330.0,3.72727,2.79105,3.2803,3.03888
340.0,3.72853,2.79645,3.27723,3.04031
350.0,3.67368,2.76012,3.23002,2.99008
360.0,3.63053,2.73198,3.19625,2.94648
370.0,3.66121,2.75212,3.21779,2.98003
380.0,3.64847,2.73131,3.21328,2.97279
390.0,3.63913,2.73415,3.19224,2.96993
400.0,3.65142,2.73043,3.20859,2.98588
410.0,3.67337,2.73077,3.24645,2.99844
420.0,3.71562,2.76633,3.27026,3.04375
430.0,3.73223,2.7628,3.29311,3.06291
440.0,3.70125,2.73412,3.27237,3.03556
450.0,3.68655,2.72689,3.25301,3.0271
460.0,3.71418,2.75152,3.27314,3.05058
470.0,3.72523,2.75975,3.28797,3.05414
480.0,3.73957,2.77325,3.30331,3.0604
490.0,3.75811,2.76832,3.3322,3.07889
500.0,3.79442,2.78933,3.36526,3.11287
510.0,3.81008,2.81268,3.37514,3.11942
520.0,3.84008,2.8321,3.404,3.14396
530.0,3.81282,2.80566,3.37834,3.12893
540.0,3.83491,2.82142,3.39614,3.14942
550.0,3.84666,2.84612,3.39405,3.1581
560.0,3.82697,2.82618,3.37963,3.14358
570.0,3.84274,2.84851,3.38999,3.15077
580.0,3.82018,2.82913,3.38223,3.12156
590.0,3.84452,2.83125,3.40751,3.15177
600.0,3.86735,2.83234,3.43854,3.17287
610.0,3.8813,2.81871,3.46648,3.18862
620.0,3.89345,2.81762,3.48056,3.20384
