time_ps,mindist_nm
0.0,0.1901207
10.0,0.1794803
20.0,0.1868585
30.0,0.1860378
40.0,0.1753426
50.0,0.1813948
60.0,0.1786281
70.0,0.2187465
80.0,0.2096802
90.0,0.2090121
100.0,0.2119386
110.0,0.219267
120.0,0.2073668
130.0,0.2037279
140.0,0.2184909
150.0,0.2279033
160.0,0.2069637
170.0,0.1991204
180.0,0.1994215
190.0,0.2034702
200.0,0.1819917
210.0,0.2300202
220.0,0.2201319
230.0,0.2188265
240.0,0.1951844
250.0,0.2240552
260.0,0.2203836
270.0,0.2204742
280.0,0.2285497
290.0,0.2233226
300.0,0.2225626
310.0,0.231657
320.0,0.2203515
330.0,0.2262606
340.0,0.2155875
350.0,0.2246243
360.0,0.2143384
370.0,0.2177477
380.0,0.2104494
390.0,0.2314776
400.0,0.2258253
410.0,0.2317888
420.0,0.2217071
430.0,0.2161158
440.0,0.2254596
450.0,0.2335209
460.0,0.2265326
470.0,0.223888
480.0,0.2285104
490.0,0.2176898
500.0,0.1831993
510.0,0.2178916
520.0,0.2360105
530.0,0.2242207
540.0,0.2245841
550.0,0.188181
560.0,0.2085598
570.0,0.2180111
580.0,0.2202865
590.0,0.2364192
600.0,0.2295928
610.0,0.215344
620.0,0.2404876
630.0,0.2163654
640.0,0.2019381
650.0,0.2314495
660.0,0.2305318
670.0,0.1979724
680.0,0.2047781
690.0,0.173586
700.0,0.1867779
710.0,0.1726295
720.0,0.1592043
730.0,0.1764908
740.0,0.1689851
750.0,0.1946822
760.0,0.2156758
770.0,0.22814
780.0,0.23739
790.0,0.2279587
800.0,0.1960152
810.0,0.1780703
820.0,0.1613723
830.0,0.1941982
840.0,0.2276906
850.0,0.1940773
860.0,0.1938321
870.0,0.1825869
880.0,0.1794127
890.0,0.1711636
900.0,0.1799779
910.0,0.1870428
920.0,0.1835458
930.0,0.1994996
940.0,0.2046385
950.0,0.2118489
960.0,0.1967565
970.0,0.1796137
980.0,0.1929766
990.0,0.2224092
1000.0,0.1857043
1010.0,0.2000028
1020.0,0.1740747
1030.0,0.1841983
1040.0,0.2042058
1050.0,0.1917316
1060.0,0.19188
1070.0,0.1658766
1080.0,0.1886
1090.0,0.1856367
1100.0,0.1927536
1110.0,0.1740488
1120.0,0.1886161
1130.0,0.2020742
1140.0,0.1778003
1150.0,0.2009006
1160.0,0.1841412
1170.0,0.1809451
1180.0,0.1868181
1190.0,0.1896233
1200.0,0.2131592
1210.0,0.1836139
1220.0,0.1869466
1230.0,0.204817
1240.0,0.1845158
1250.0,0.1952178
1260.0,0.1945922
1270.0,0.1748488
1280.0,0.1930465
1290.0,0.199394
1300.0,0.1894567
1310.0,0.2198047
1320.0,0.2116148
1330.0,0.2205879
1340.0,0.2028648
1350.0,0.2131596
1360.0,0.2046339
1370.0,0.2226231
1380.0,0.1777357
1390.0,0.2027831
1400.0,0.1783647
1410.0,0.1774625
1420.0,0.1838965
1430.0,0.1835868
1440.0,0.1965762
1450.0,0.2065262
1460.0,0.1960967
1470.0,0.1853484
1480.0,0.184505
1490.0,0.1968271
1500.0,0.1808204
1510.0,0.1714528
1520.0,0.2090024
