col1,col2
0.0025,0.0
0.0075,0.0
0.0125,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.0525,0.0
0.0575,0.0
0.0625,0.0
0.0675,0.0
0.0725,0.0
0.0775,0.0
0.0825,0.0
0.0875,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.1475,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.1775,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.1975,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.2275,0.0
0.2325,0.0
0.2375,0.0
0.2425,0.0
0.2475,0.0243161
0.2525,0.316109
0.2575,0.87538
0.2625,2.35866
0.2675,6.66261
0.2725,14.1033
0.2775,19.8663
0.2825,23.538
0.2875,23.5623
0.2925,21.3739
0.2975,17.921
0.3025,14.4924
0.3075,11.1368
0.3125,8.97264
0.3175,7.46505
0.3225,5.81155
0.3275,4.71733
0.3325,4.54711
0.3375,4.40122
0.3425,3.96353
0.3475,3.89058
